test_number,time,input_encoder,output_encoder,input_gyro,output_gyro,inout_acceleration,output_acceleration,velocity_in
0,15822,4439,331,247.62,12.13,7.63,2.83,99.74
0,21741,6583,544,247.62,12.06,7.63,5.93,99.52
0,27597,8771,770,249.25,12.06,4.06,11.27,99.22
0,34837,11433,1006,249.25,9.75,8.13,11.74,98.76
0,44417,14735,1363,268.69,6.31,12.05,6.85,97.99
0,54042,18245,1745,289.31,3.19,16.18,9.44,97.03
0,63101,21545,2062,309.19,-0.06,15.57,9.44,95.96
0,69032,23765,2289,328.25,-3.56,15.57,9.72,95.17
0,74743,25842,2479,328.25,-3.56,17.32,9.72,94.34
0,80779,28005,2702,346.69,-6.81,12.99,10.97,93.40
0,90607,31606,3054,364.50,-10.00,11.26,8.82,91.72
0,100463,35211,3425,382.06,-13.19,8.21,12.30,89.86
0,110387,38831,3743,399.69,-16.44,8.21,10.13,87.80
0,116339,40968,3946,417.44,-16.44,2.17,10.13,86.48
0,122252,43072,4162,417.44,-19.69,3.28,8.53,85.10
0,127962,45133,4371,435.50,-19.69,3.28,9.44,83.72
0,135379,47837,4621,454.31,-22.75,6.49,9.04,81.84
0,144553,50769,4949,454.31,-25.94,8.80,9.16,79.39
0,154263,53592,5226,473.87,-29.31,15.79,9.15,76.64
0,163316,56327,5518,494.31,-32.56,14.28,9.15,73.95
0,169225,58224,5694,515.50,-35.25,14.28,9.14,72.12
0,174928,60017,5874,515.50,-35.25,13.46,9.14,70.31
0,180899,61823,6049,537.12,-38.13,15.78,10.17,68.37
0,190317,64551,6338,559.19,-40.75,13.06,10.77,65.20
0,199543,67018,6583,581.50,-43.38,13.06,7.99,61.98
0,208977,69308,6811,603.50,-46.00,13.38,9.57,58.57
0,215984,70836,6959,603.50,-46.00,9.74,9.57,55.98
0,221677,72015,7071,624.87,-48.31,9.74,9.85,53.83
0,227614,73194,7170,645.50,-48.31,7.07,9.64,51.54
0,234367,74454,7284,645.50,-50.31,7.63,10.22,48.90
0,244166,76063,7441,665.50,-52.06,6.87,9.24,44.99
0,254111,77534,7580,683.87,-53.56,8.01,9.88,40.93
0,263550,78766,7703,700.31,-55.00,8.43,9.88,37.00
0,269501,79457,7772,714.50,-56.25,8.43,9.05,34.49
0,275203,80078,7833,714.50,-56.25,9.03,9.05,32.06
0,281239,80695,7895,727.00,-57.44,9.48,9.60,29.46
0,290572,81546,7978,738.00,-58.44,9.65,9.44,25.40
0,299365,82222,8041,747.56,-59.38,9.65,9.50,21.54
0,309218,82807,8097,756.12,-60.19,10.02,9.66,17.17
0,316013,83106,8126,756.12,-60.19,10.26,9.66,14.13
0,321722,83236,8138,763.50,-60.81,10.26,9.47,11.57
0,327656,83267,8142,769.50,-60.81,10.48,9.83,8.90
0,334414,83259,8147,769.50,-61.31,11.13,9.91,5.85
0,344401,83253,8149,774.00,-61.56,10.95,9.83,1.34
0,354219,83236,8158,776.25,-61.63,10.01,9.83,-3.10
0,363891,83187,8165,776.44,-61.63,10.06,9.08,-7.47
0,369752,83115,8168,776.37,-61.69,10.06,9.79,-10.11
0,375580,82955,8168,776.37,-61.69,10.65,9.79,-12.72
0,381576,82697,8168,776.25,-61.81,10.07,9.30,-15.41
0,390815,82293,8220,775.81,-61.81,10.74,9.39,-19.52
0,399591,81939,8243,774.50,-61.88,10.74,9.44,-23.40
0,409251,81504,8211,771.19,-62.44,9.46,10.12,-27.62
0,416094,81132,8176,767.62,-62.44,10.70,10.12,-30.58
0,421799,80768,8140,767.62,-62.44,10.70,9.35,-33.03
0,427789,80349,8094,764.12,-62.44,10.45,9.54,-35.57
0,434559,79830,8028,764.12,-62.06,9.86,9.68,-38.41
0,444303,78962,7903,760.06,-61.50,10.35,9.68,-42.44
0,454129,77881,7770,754.94,-60.75,9.69,9.61,-46.42
0,462910,76798,7648,748.87,-59.63,9.28,9.05,-49.90
0,468617,76012,7553,741.69,-59.63,9.28,9.05,-52.12
0,474362,75125,7460,741.69,-58.44,9.51,9.65,-54.32
0,480147,74191,7356,732.87,-57.13,9.51,9.59,-56.50
0,488728,72750,7243,722.69,-55.69,8.48,9.46,-59.66
0,497680,71181,7124,710.75,-55.69,8.50,8.68,-62.86
0,507213,69336,6937,697.06,-54.19,8.14,9.99,-66.15
0,515069,67538,6790,697.06,-53.00,8.46,9.99,-68.77
0,520776,66114,6670,682.44,-51.56,8.46,9.91,-70.62
0,526479,64641,6521,666.56,-51.56,7.30,9.91,-72.42
0,532189,63064,6360,666.56,-49.81,9.36,9.96,-74.18
0,540661,60458,6094,647.75,-47.94,10.25,10.10,-76.70
0,550092,57490,5781,627.19,-45.56,13.84,9.01,-79.36
0,559529,54467,5499,605.94,-42.75,13.84,9.38,-81.88
0,566808,52190,5266,584.00,-42.75,15.24,9.38,-83.73
0,572522,50276,5098,584.00,-39.88,15.24,10.02,-85.11
0,578510,48098,4878,561.75,-39.88,15.76,10.36,-86.50
0,585970,45396,4602,539.56,-37.19,14.03,10.36,-88.15
0,594755,42486,4293,539.56,-34.38,13.66,10.39,-89.95
0,604475,39230,3915,517.62,-31.06,7.47,10.11,-91.79
0,613568,36034,3596,496.44,-27.87,6.80,9.80,-93.34
0,619275,34059,3437,476.00,-27.87,6.80,9.28,-94.23
0,625171,31993,3254,476.00,-24.25,3.53,9.28,-95.09
0,630871,29877,3072,456.31,-21.00,5.23,10.00,-95.86
0,638854,26946,2776,437.44,-18.25,5.23,8.97,-96.82
0,647968,23584,2422,419.12,-18.25,5.38,9.81,-97.77
0,657642,20067,2067,401.31,-15.38,9.76,9.38,-98.60
0,665676,17253,1810,401.31,-12.06,12.83,9.38,-99.14
0,671635,15068,1598,383.75,-8.63,12.83,11.29,-99.45
0,677341,12959,1399,366.19,-8.63,17.13,11.29,-99.69
0,684119,10476,1140,366.19,-5.62,17.41,10.33,-99.88
0,691975,7637,867,348.31,-2.44,15.87,11.15,-99.99
0,700868,4498,490,330.00,0.75,15.15,8.78,-99.96
0,710526,972,119,310.94,4.06,15.15,10.06,-99.75
0,717905,-1669,-87,291.06,4.06,10.83,10.06,-99.45
0,723607,-3674,-287,291.06,7.81,5.08,9.16,-99.15
0,729311,-5777,-460,270.25,7.81,5.08,10.80,-98.78
0,736443,-8390,-738,248.50,11.25,2.71,10.80,-98.23
0,745364,-11706,-1067,248.50,14.06,2.49,9.13,-97.39
0,754816,-15157,-1460,226.19,17.00,6.81,10.16,-96.33
0,763907,-18469,-1746,203.50,20.44,11.59,8.89,-95.15
