test_number,time,input_encoder,output_encoder,input_gyro,output_gyro,inout_acceleration,output_acceleration,velocity_in
0,2022,50,-1,0.00,0.00,6.12,9.76,100.00
0,12387,2383,208,0.00,0.00,6.11,11.27,100.00
0,22274,5604,524,0.00,0.00,17.37,12.09,99.99
0,33129,9395,914,8.44,-0.62,6.84,11.26,99.98
0,44644,13394,1379,27.75,-6.12,4.43,9.92,99.96
0,55714,17519,1836,47.13,-9.44,6.74,8.24,99.94
0,64394,20698,2122,66.50,-9.44,9.38,9.81,99.92
0,72135,23330,2369,86.06,-13.19,11.45,9.81,99.90
0,81419,26434,2657,86.06,-16.69,13.19,9.42,99.87
0,92309,30502,3096,125.19,-19.75,14.79,11.09,99.83
0,103994,34654,3483,145.00,-22.50,15.45,9.32,99.79
0,113944,38273,3812,164.69,-25.75,14.82,9.32,99.74
0,121899,41156,4077,184.37,-29.12,14.36,10.65,99.71
0,130053,44125,4381,184.37,-32.00,9.27,9.44,99.67
0,141889,48385,4856,223.75,-34.94,7.22,9.58,99.60
0,152495,52259,5291,243.44,-38.06,3.70,8.32,99.54
0,162770,56102,5672,263.12,-41.38,4.66,8.32,99.48
0,170637,58832,5929,263.12,-45.19,7.31,8.71,99.43
0,178770,61587,6182,282.87,-48.88,11.11,10.79,99.37
0,188517,64893,6516,302.56,-52.06,13.92,8.28,99.30
0,198410,68503,6884,322.31,-55.00,15.45,10.64,99.22
0,208627,72239,7214,342.06,-57.94,15.53,10.58,99.14
0,216913,75242,7490,361.87,-57.94,15.53,10.04,99.07
0,224743,78111,7767,381.56,-61.19,14.94,9.65,99.00
0,235158,81742,8132,401.31,-67.12,10.07,9.59,98.91
0,245772,85569,8555,421.00,-70.19,7.80,9.80,98.81
0,257671,89793,9028,440.75,-73.31,3.92,9.53,98.69
0,266641,93080,9346,460.50,-73.31,3.92,8.07,98.60
0,275077,96151,9648,480.19,-76.87,4.10,8.19,98.51
0,285309,99810,9998,499.94,-84.00,10.59,9.15,98.40
0,296237,103595,10380,519.62,-87.12,12.70,10.41,98.27
0,307604,107698,10768,539.31,-90.25,15.17,9.37,98.14
0,316589,111046,11079,559.06,-90.25,15.17,9.31,98.03
0,324905,114015,11356,578.81,-93.37,15.34,9.13,97.92
0,335144,117768,11726,598.62,-99.44,13.38,9.76,97.79
0,346088,121616,12107,618.31,-102.56,10.62,9.30,97.65
0,357029,125529,12535,638.06,-105.69,7.56,9.66,97.49
0,365867,128767,12879,657.81,-105.69,7.56,9.66,97.37
0,373485,131587,13157,677.56,-108.81,6.84,8.55,97.26
0,383372,135286,13524,697.31,-112.44,4.03,7.85,97.11
0,394999,139386,13942,717.00,-119.12,10.66,9.97,96.94
0,405757,143299,14319,736.69,-119.12,13.18,10.05,96.77
0,415538,146619,14604,756.44,-122.44,13.18,10.05,96.61
0,423464,149511,14877,776.19,-125.81,15.81,9.01,96.48
0,433686,153232,15257,795.94,-128.94,15.10,10.17,96.31
0,444894,157189,15654,815.75,-134.75,13.74,8.65,96.12
0,455818,161013,16045,835.50,-134.75,10.25,10.55,95.93
0,465393,164512,16422,855.19,-138.00,10.25,10.55,95.76
0,473196,167389,16709,874.94,-141.25,10.04,9.74,95.61
0,483285,171042,17057,894.69,-144.56,6.08,9.86,95.42
0,494320,175120,17497,914.44,-148.06,6.39,7.72,95.22
0,505474,179171,17889,934.12,-151.37,8.97,9.11,95.00
0,515434,182598,18188,953.81,-154.87,8.97,9.11,94.80
0,523454,185216,18433,973.56,-158.12,13.87,9.85,94.64
0,533670,188964,18798,993.31,-160.94,13.45,8.88,94.43
0,544375,192823,19184,1013.12,-166.87,15.94,9.03,94.21
0,555825,196555,19589,1032.88,-166.87,12.71,9.68,93.96
0,565506,200136,19988,1052.56,-170.12,12.71,9.57,93.75
0,574169,203209,20267,1072.31,-173.31,13.18,8.89,93.56
0,584314,206914,20606,1092.13,-176.69,4.34,9.69,93.34
0,595944,211039,21081,1111.81,-183.00,3.58,8.79,93.07
0,606314,214843,21452,1131.44,-183.00,4.73,9.10,92.83
0,616045,218409,21776,1151.13,-186.50,4.73,9.10,92.60
0,624182,221316,22044,1170.88,-189.87,7.55,9.60,92.41
0,634471,225038,22398,1190.63,-193.00,14.07,9.12,92.16
0,646091,229162,22798,1210.38,-199.00,15.29,9.20,91.87
0,656391,232560,23196,1230.13,-199.00,15.57,10.34,91.62
0,666535,235975,23576,1249.94,-202.19,14.80,10.35,91.36
0,674969,238974,23857,1269.63,-205.69,12.96,8.72,91.14
0,684736,242432,24178,1289.44,-208.81,10.49,8.33,90.89
0,696173,246274,24571,1309.25,-214.87,5.07,8.41,90.58
0,706414,249756,24946,1328.94,-214.87,3.39,9.27,90.31
0,716410,253180,25275,1348.63,-217.87,4.25,9.27,90.04
0,724249,256106,25540,1368.38,-221.12,6.44,9.92,89.82
0,734783,259830,25891,1388.19,-224.19,12.52,9.99,89.53
0,746198,263940,26293,1407.94,-227.19,12.44,9.52,89.21
0,756814,267712,26704,1427.63,-230.25,15.17,9.93,88.91
0,766596,271301,27107,1447.31,-233.44,15.09,9.93,88.62
0,774662,274241,27409,1467.06,-236.69,15.56,10.53,88.39
0,785075,277914,27761,1486.81,-240.31,14.30,9.29,88.08
0,796304,281794,28125,1506.56,-243.75,11.36,10.40,87.74
0,807310,285381,28500,1526.25,-246.81,6.40,11.17,87.41
0,816847,288492,28820,1546.00,-249.62,4.19,11.17,87.12
0,824709,291093,29057,1565.81,-252.75,3.98,10.00,86.87
0,834819,294453,29372,1585.56,-255.75,4.91,9.83,86.56
0,846409,298498,29781,1605.38,-258.56,9.67,8.96,86.19
0,856865,302190,30153,1625.19,-261.37,10.96,9.52,85.85
0,866635,305419,30510,1644.94,-264.44,13.02,9.52,85.54
0,875201,308417,30853,1664.69,-267.56,14.69,9.79,85.26
0,885027,312010,31193,1684.38,-270.81,14.79,10.13,84.93
0,896878,315828,31547,1704.13,-274.25,15.65,9.28,84.54
0,907124,319134,31891,1723.81,-277.50,12.71,9.66,84.19
0,917075,322312,32209,1743.50,-280.31,8.62,9.66,83.85
0,925187,324869,32469,1763.31,-283.06,6.81,10.19,83.57
0,935278,328060,32756,1783.06,-286.00,4.87,10.58,83.22
0,946374,331472,33089,1802.88,-288.87,4.30,10.28,82.84
0,956888,334895,33445,1822.69,-291.50,7.40,9.88,82.46
0,967085,338341,33797,1842.44,-294.12,8.03,9.88,82.10
0,975204,341067,34097,1862.25,-296.94,9.36,9.18,81.81
0,984693,344095,34425,1882.00,-300.00,16.09,10.64,81.46
0,996578,348305,34830,1901.69,-303.31,13.27,10.90,81.03
0,1007650,351938,35169,1921.38,-306.56,14.27,9.36,80.62
0,1017906,355095,35511,1941.13,-309.62,16.03,9.36,80.24
0,1026151,357663,35771,1960.81,-312.50,11.86,11.41,79.93
0,1035955,360527,36049,1980.50,-315.12,10.30,10.04,79.55
0,1047703,364117,36384,2000.31,-320.69,8.18,10.82,79.10
0,1058095,367053,36663,2020.13,-320.69,5.20,10.00,78.70
0,1068104,369840,36947,2039.94,-323.19,4.69,9.34,78.31
0,1076437,372190,37199,2059.69,-325.62,5.79,9.34,77.99
0,1085206,374774,37480,2079.50,-328.12,6.70,9.70,77.64
0,1096342,378214,37857,2099.31,-330.75,9.79,9.80,77.20
0,1107210,381725,38220,2119.06,-333.44,12.11,11.13,76.76
0,1117102,384617,38486,2138.81,-336.50,12.79,11.13,76.36
0,1125115,386851,38696,2158.56,-339.56,14.69,9.36,76.04
0,1134413,389481,38942,2178.19,-342.31,14.11,9.61,75.66
0,1146012,392755,39302,2197.94,-344.69,14.12,11.56,75.18
0,1158361,396153,39643,2217.75,-347.00,12.77,9.37,74.66
0,1169535,399175,39914,2257.31,-349.69,10.04,9.61,74.19
0,1179768,401920,40168,2277.13,-352.25,9.32,10.38,73.76
0,1189975,404596,40423,2296.88,-356.69,7.65,9.70,73.33
0,1202102,407582,40732,2316.69,-358.87,5.48,10.64,72.81
0,1211583,410018,40973,2336.44,-361.06,5.15,10.06,72.40
0,1221574,412338,41280,2356.25,-363.37,6.13,9.62,71.96
0,1231593,414925,41561,2376.06,-365.69,7.11,9.26,71.52
