test_number,time,input_encoder,output_encoder,input_gyro,output_gyro,inout_acceleration,output_acceleration,velocity_in
0,33,-65536,131071,349.37,0.19,12.07,9.56,100.00
0,7831,347,-22,349.37,0.19,12.06,9.50,93.80
0,16737,1001,-29,349.37,0.19,13.75,10.40,72.70
0,23482,1234,-55,349.37,0.31,14.73,10.40,48.73
0,30244,1338,-41,350.87,0.44,9.80,9.21,20.18
0,39860,1334,-35,357.37,0.69,11.55,8.30,-22.96
0,49159,1190,-12,361.37,0.62,11.55,10.05,-60.69
0,55615,905,8,361.37,0.62,11.72,8.45,-81.00
0,63813,289,20,362.37,0.50,11.34,8.45,-96.74
0,69759,-4,-1,361.81,0.19,10.59,9.36,-99.99
0,77821,-214,-20,358.69,0.13,10.59,10.27,-92.96
0,85575,-326,-30,352.12,0.13,13.89,9.75,-74.65
0,94702,-339,-34,352.12,0.31,12.48,9.48,-41.69
0,103393,-321,-38,348.12,0.44,12.54,9.48,-3.70
0,111329,-277,-46,346.37,0.50,12.54,9.70,31.63
0,117282,-191,-51,346.12,0.50,11.70,9.63,55.72
0,124061,27,-52,346.12,0.56,11.96,9.63,78.18
0,130877,388,-55,346.31,0.62,13.11,9.38,93.41
0,140756,855,-89,347.06,0.69,11.26,9.53,99.67
0,150332,1166,-61,349.75,0.75,11.26,11.21,87.04
0,156626,1383,-40,354.94,0.75,11.67,8.46,69.72
0,164642,1567,-19,354.94,1.00,12.17,8.46,39.77
0,170345,1609,-14,358.69,0.75,11.82,9.93,15.05
0,178160,1575,-5,361.94,0.75,11.82,9.70,-20.09
0,185985,1460,17,364.37,0.44,11.17,8.81,-52.79
0,194885,1114,27,364.37,0.31,11.72,10.02,-81.84
0,203570,507,44,364.81,0.13,11.50,10.02,-97.60
0,211561,164,15,363.81,0.00,11.50,8.70,-99.00
0,217491,-62,-7,360.37,0.00,12.46,10.80,-91.71
0,224248,-214,-21,360.37,-0.13,12.53,10.80,-75.47
0,230954,-257,-25,354.25,0.13,12.94,9.20,-52.44
0,240146,-246,-28,350.00,0.37,12.55,9.48,-13.59
0,249366,-205,-38,347.44,0.44,12.55,9.52,27.69
0,256136,-117,-42,347.44,0.44,12.03,9.76,55.37
0,264001,157,-44,346.94,0.50,12.04,9.76,80.90
0,269905,487,-47,347.19,0.56,13.12,9.74,93.54
0,278072,878,-75,347.94,0.56,13.12,9.33,100.00
0,285844,1140,-62,351.00,0.62,11.08,9.98,93.61
0,294974,1469,-31,351.00,0.75,11.95,8.71,71.64
0,303941,1660,-9,356.19,0.94,12.06,8.71,38.31
0,311863,1710,-4,359.81,0.62,12.06,9.82,3.49
0,318016,1664,4,363.25,0.62,11.41,9.52,-24.09
0,324884,1527,29,363.25,0.37,11.56,9.52,-52.60
0,331364,1289,37,365.44,0.25,11.59,8.50,-74.93
0,340664,655,51,365.81,0.06,11.46,10.69,-95.43
0,349673,297,26,364.31,-0.13,11.46,9.00,-99.46
0,356451,19,1,360.19,-0.13,13.93,9.78,-91.69
0,364532,-188,-18,360.19,-0.13,11.92,9.78,-71.37
0,370245,-226,-23,354.31,0.13,12.46,9.86,-51.11
0,378406,-215,-26,350.56,0.13,12.46,9.37,-16.67
0,386373,-183,-34,347.75,0.37,12.62,9.42,19.16
0,395301,-63,-40,347.75,0.44,11.96,9.42,56.18
0,404339,264,-43,347.25,0.50,12.34,9.59,84.43
0,411946,715,-48,347.50,0.56,13.23,9.44,97.56
0,418341,940,-78,348.50,0.56,13.23,10.00,99.77
0,425840,1202,-56,351.81,0.62,11.04,10.00,91.84
0,431948,1427,-35,351.81,0.75,12.09,8.83,77.57
0,440551,1638,-12,356.81,0.88,11.96,9.09,47.84
0,449905,1722,-3,360.37,0.62,11.96,9.70,7.58
0,456705,1694,4,363.75,0.62,11.47,9.69,-22.95
0,464976,1532,30,363.75,0.37,11.66,9.69,-56.93
0,470872,1313,37,365.62,0.25,11.52,8.39,-76.58
0,479003,728,47,365.94,0.25,11.52,10.55,-94.58
0,487001,350,31,364.44,0.06,10.44,9.29,-99.95
0,496285,-35,-4,360.12,-0.13,13.30,9.29,-90.02
0,504739,-227,-22,360.12,-0.13,12.19,9.42,-67.28
0,511898,-249,-27,354.06,0.13,12.19,9.97,-40.25
