test_number,time,input_encoder,output_encoder,input_gyro,output_gyro,inout_acceleration,output_acceleration,velocity_in
0,7793,373,-19,-7.37,-0.06,12.08,9.51,93.85
0,16991,1017,-32,-7.37,-0.06,14.04,10.29,71.91
0,23929,1221,-49,-7.37,0.00,14.12,10.29,46.95
0,31007,1317,-32,-5.87,0.13,10.40,8.82,16.79
0,40936,1306,-26,0.56,0.44,11.79,8.16,-27.67
0,51042,1124,6,4.44,0.25,11.79,10.38,-67.23
0,57692,792,9,5.44,0.13,11.67,8.46,-86.14
0,64488,242,23,5.44,0.13,11.26,8.46,-97.47
0,70430,-88,-3,4.94,-0.13,10.37,9.49,-99.91
0,78298,-352,-27,2.25,-0.19,10.37,9.68,-92.15
0,86906,-500,-41,-4.44,0.06,13.21,9.38,-70.51
0,95887,-512,-46,-9.50,0.06,12.89,9.51,-36.76
0,103709,-492,-50,-9.50,0.25,12.58,9.51,-2.27
0,111993,-444,-57,-11.81,0.31,11.82,9.71,34.47
0,117960,-352,-61,-12.31,0.37,11.82,9.44,58.24
0,125284,-99,-62,-12.31,0.37,11.95,9.44,81.51
0,131611,250,-65,-12.06,0.44,13.37,9.35,94.55
0,141307,706,-95,-11.38,0.50,11.44,9.64,99.43
0,151336,1047,-66,-8.75,0.56,11.44,10.93,84.72
0,158182,1287,-42,-3.62,0.81,11.67,8.96,64.50
0,164978,1437,-21,-3.62,0.81,12.10,8.96,38.37
0,171002,1478,-15,0.31,0.56,11.95,9.79,12.11
0,178825,1440,-4,3.69,0.25,11.95,9.81,-23.03
0,187318,1292,19,6.37,0.06,11.34,8.85,-57.81
0,196240,899,23,6.87,0.06,11.60,10.47,-85.20
0,204061,346,38,6.87,-0.13,12.01,10.47,-98.06
0,212065,-22,3,5.87,-0.25,12.01,8.84,-98.65
0,217945,-249,-18,2.50,-0.25,12.58,10.78,-90.87
0,225224,-403,-33,2.50,-0.31,12.39,10.78,-72.50
0,231525,-436,-37,-3.69,-0.06,13.20,9.05,-50.22
0,241335,-425,-40,-8.25,0.19,12.82,9.59,-8.24
0,251459,-370,-51,-11.00,0.25,12.82,9.60,36.65
0,257910,-272,-53,-11.50,0.31,12.02,9.79,61.86
0,265187,9,-55,-11.50,0.31,11.87,9.79,83.93
0,271358,383,-59,-11.31,0.44,13.24,9.33,95.66
0,279259,739,-86,-10.63,0.44,13.24,9.38,99.81
0,287616,1033,-65,-7.75,0.50,11.23,10.23,90.50
0,296511,1358,-34,-2.44,0.50,11.80,8.68,66.62
0,304367,1518,-10,-2.44,0.75,12.05,8.68,36.52
0,312103,1567,-5,1.37,0.44,12.05,9.87,2.40
0,317985,1525,0,4.87,0.44,11.31,9.62,-23.96
0,324920,1383,28,4.87,0.13,11.55,9.62,-52.74
0,331393,1143,31,7.25,0.00,11.52,8.53,-75.01
0,340946,490,45,7.75,-0.19,11.82,10.98,-95.81
0,349746,137,17,6.25,-0.37,11.82,9.03,-99.42
0,356588,-156,-10,2.12,-0.37,14.29,9.81,-91.44
0,364433,-357,-28,2.12,-0.37,11.78,9.81,-71.69
0,370285,-398,-33,-3.75,-0.13,12.56,9.73,-50.96
0,378517,-387,-36,-7.69,-0.13,12.56,9.38,-16.17
0,386513,-355,-44,-10.63,0.19,12.59,9.40,19.78
0,395442,-235,-50,-10.63,0.25,12.01,9.69,56.70
0,404234,83,-52,-11.13,0.31,12.34,9.69,84.17
0,412182,561,-59,-10.88,0.37,12.34,9.53,97.78
0,418255,773,-83,-9.88,0.37,13.21,9.63,99.80
0,425311,1024,-66,-9.88,0.44,11.52,9.63,92.76
0,431657,1261,-44,-6.62,0.56,11.50,9.23,78.40
0,441086,1506,-14,-1.50,0.69,12.04,8.84,45.71
0,450020,1597,-2,2.06,0.37,12.04,9.72,7.06
0,456802,1574,3,5.56,0.37,11.46,9.66,-23.38
0,464767,1420,30,5.56,0.13,11.61,9.66,-56.15
0,470465,1201,34,7.62,0.00,11.48,8.36,-75.38
0,478666,613,41,8.06,0.00,11.48,10.72,-94.07
0,486303,238,25,6.62,-0.25,10.49,8.95,-100.00
