test_number,time,input_encoder,output_encoder,input_gyro,output_gyro,inout_acceleration,output_acceleration,velocity_in
0,32,-327680,-131073,219.94,14.81,13.33,7.70,100.00
0,9675,1505,110,219.37,14.81,13.33,7.40,99.82
0,15600,3621,310,219.19,14.81,6.40,7.42,99.52
0,21299,5721,509,219.19,14.88,2.81,7.42,99.11
0,27179,7910,737,222.12,13.06,2.81,11.21,98.55
0,35928,11077,1019,238.69,9.69,6.44,10.94,97.46
0,45670,14431,1390,259.25,6.56,13.78,7.72,95.91
0,55100,17801,1753,278.94,6.56,17.70,12.52,94.07
0,62651,20576,2019,278.94,3.31,15.66,12.52,92.35
0,68352,22679,2234,297.87,0.00,15.66,9.93,90.92
0,74260,24841,2442,316.31,0.00,16.69,9.93,89.31
0,80983,27292,2686,316.31,-3.44,15.35,9.50,87.33
0,89906,30515,3003,334.06,-6.62,11.82,10.91,84.46
0,99419,33787,3336,351.56,-9.81,10.14,10.84,81.12
0,109364,37255,3653,369.06,-13.00,10.14,9.99,77.31
0,115234,39192,3840,386.87,-13.00,4.60,9.99,74.91
0,121130,41022,4010,386.87,-16.06,3.82,9.17,72.41
0,127073,42790,4188,405.12,-18.87,3.82,8.15,69.78
0,135706,45318,4442,424.00,-21.56,5.12,9.26,65.80
0,144759,47864,4689,443.69,-21.56,9.11,8.97,61.41
0,153891,49871,4919,464.12,-24.37,11.62,8.88,56.78
0,161975,51424,5076,464.12,-26.94,14.42,8.88,52.53
0,167752,52476,5173,485.19,-29.44,14.42,11.00,49.41
0,173452,53410,5272,506.44,-29.44,12.44,11.00,46.26
0,179509,54367,5381,506.44,-31.19,12.03,9.96,42.86
0,189129,55863,5529,525.69,-32.81,11.62,9.14,37.32
0,198802,57303,5662,542.94,-34.44,10.88,9.86,31.62
0,207863,58377,5771,558.31,-35.75,10.88,9.65,26.17
0,214632,58968,5830,573.25,-35.75,10.98,9.65,22.04
0,220333,59358,5869,573.25,-36.94,10.98,10.04,18.53
0,226034,59610,5894,586.75,-36.94,10.28,9.54,15.00
0,232797,59726,5906,586.75,-37.81,9.74,9.79,10.79
0,242307,59715,5916,596.81,-38.44,9.48,9.33,4.83
0,251770,59679,5933,603.50,-38.69,9.71,9.33,-1.11
0,261119,59611,5957,606.44,-38.81,9.78,9.43,-6.98
0,267039,59538,5973,606.62,-38.81,9.78,9.41,-10.69
0,273001,59431,5973,606.62,-39.00,9.56,9.41,-14.40
0,278872,59310,5974,606.25,-39.25,9.41,9.69,-18.04
0,287673,59150,5981,605.56,-39.38,9.66,9.62,-23.45
0,297020,58856,5969,604.31,-39.44,9.66,9.45,-29.12
0,305833,58369,5917,602.44,-39.44,9.51,9.28,-34.37
0,313459,57677,5844,602.44,-39.44,9.42,9.28,-38.82
0,319364,57005,5778,600.44,-39.19,9.42,9.63,-42.22
0,325455,56206,5704,596.75,-39.19,10.21,9.68,-45.65
0,332207,55223,5615,596.75,-38.56,10.56,9.68,-49.39
0,340327,53966,5501,589.69,-37.56,11.17,9.74,-53.76
0,349778,52564,5361,579.12,-36.44,10.74,9.41,-58.67
0,359247,50841,5198,565.87,-35.19,10.74,9.67,-63.38
0,365755,49330,5057,551.12,-35.19,11.17,9.67,-66.49
0,371712,47765,4897,551.12,-33.88,13.45,9.67,-69.23
0,377618,46111,4728,536.31,-32.25,13.45,10.31,-71.86
0,385587,43904,4519,517.87,-32.25,14.36,9.05,-75.25
0,394859,41427,4214,496.44,-30.00,11.83,9.48,-78.96
0,404428,38712,3914,475.19,-27.44,8.45,9.99,-82.51
0,412507,36105,3649,475.19,-24.81,7.55,9.99,-85.27
0,418215,34313,3526,454.44,-21.75,7.55,8.08,-87.08
0,423981,32561,3347,434.44,-21.75,6.01,8.08,-88.81
0,429684,30726,3194,434.44,-18.81,3.89,10.34,-90.40
0,438182,27744,2907,415.06,-16.37,5.92,8.65,-92.55
0,447570,24286,2567,396.44,-13.81,10.36,9.01,-94.62
0,456979,20850,2191,378.25,-10.69,10.36,8.96,-96.37
0,464251,18223,1959,360.69,-10.69,12.26,8.96,-97.49
0,469968,16126,1751,360.69,-7.31,14.55,9.35,-98.22
0,475982,13908,1543,343.37,-7.31,14.55,10.86,-98.86
0,483748,11074,1267,325.81,-4.06,16.94,10.86,-99.48
0,492335,7944,965,325.81,-1.06,18.32,10.85,-99.88
0,502011,4454,544,307.81,2.06,16.40,9.07,-99.99
0,511065,1143,191,289.25,5.31,14.63,8.40,-99.76
0,516978,-1006,10,269.94,5.31,14.63,8.40,-99.43
0,522677,-2982,-165,269.94,8.94,7.14,9.76,-98.99
0,528638,-5095,-359,249.56,12.63,2.96,11.98,-98.39
0,537317,-8285,-670,228.25,15.56,2.96,8.93,-97.26
0,545866,-11442,-978,206.19,15.56,2.10,10.17,-95.88
0,555545,-15026,-1374,183.62,18.44,6.36,8.50,-93.97
0,563422,-17865,-1641,160.81,21.81,10.70,8.50,-92.16
0,569389,-20059,-1850,160.81,25.12,10.70,8.98,-90.65
0,575288,-22212,-2043,138.19,25.12,12.42,8.98,-89.02
0,582266,-24757,-2300,138.19,28.50,13.94,10.78,-86.94
0,591859,-28106,-2627,116.25,31.50,16.90,11.10,-83.80
0,601506,-31134,-3022,95.25,34.69,16.78,9.81,-80.34
0,609892,-33634,-3287,75.06,37.88,13.86,9.30,-77.09
0,616381,-35487,-3477,55.75,37.88,13.86,9.30,-74.43
0,622317,-37158,-3608,55.75,41.19,12.75,7.33,-71.89
0,628021,-38678,-3737,37.00,44.25,7.43,8.38,-69.36
0,635878,-40644,-3934,18.69,44.25,7.43,9.60,-65.72
0,645345,-42840,-4108,0.62,46.81,7.47,9.04,-61.12
0,655383,-45018,-4321,-17.44,48.94,7.09,10.29,-56.01
0,663373,-46661,-4520,-17.44,51.00,6.78,10.29,-51.78
0,669247,-47829,-4605,-35.69,52.69,6.78,10.16,-48.59
0,675417,-48941,-4734,-54.31,52.69,7.42,10.16,-45.17
0,682807,-50111,-4862,-54.31,54.81,7.83,11.24,-40.98
0,692036,-51382,-5001,-72.44,56.56,10.12,8.09,-35.62
0,701127,-52466,-5106,-89.81,58.19,9.75,9.58,-30.23
0,708858,-53188,-5172,-105.31,59.63,9.75,10.17,-25.56
0,715842,-53656,-5215,-118.50,59.63,10.11,10.17,-21.30
0,721542,-53892,-5238,-118.50,60.75,10.91,10.26,-17.79
0,727493,-53997,-5248,-129.94,60.75,10.91,9.78,-14.09
0,735444,-53991,-5252,-138.81,61.50,11.30,9.86,-9.13
0,745253,-53970,-5253,-144.25,62.00,10.87,9.77,-2.98
0,755363,-53925,-5256,-146.00,62.13,9.78,9.83,3.37
0,763670,-53847,-5261,-145.81,62.19,9.69,9.83,8.58
0,769387,-53756,-5263,-145.81,62.25,9.69,9.64,12.15
0,775688,-53578,-5270,-145.56,62.25,9.54,9.64,16.07
0,783295,-53354,-5284,-144.94,62.31,9.76,9.85,20.77
0,792409,-53043,-5262,-144.94,62.31,9.13,9.24,26.33
0,800586,-52626,-5226,-143.56,62.50,9.79,11.22,31.25
0,808749,-51999,-5171,-140.87,62.44,10.41,10.06,36.08
0,815842,-51308,-5105,-137.87,62.44,10.41,10.06,40.20
0,821543,-50647,-5042,-137.87,62.13,10.34,10.11,43.45
0,827501,-49882,-4969,-133.44,62.13,10.34,10.06,46.79
0,835261,-48815,-4869,-126.37,61.56,10.26,9.74,51.05
0,844610,-47349,-4737,-116.75,60.69,9.60,9.74,56.01
0,853322,-45623,-4579,-105.06,59.63,9.26,9.77,60.45
0,861348,-43897,-4405,-105.06,58.44,9.49,10.23,64.39
0,867586,-42494,-4252,-92.19,58.44,9.49,10.23,67.34
0,873527,-41063,-4107,-76.69,57.06,7.21,10.60,70.05
0,879645,-39472,-3943,-76.69,55.31,7.10,9.15,72.74
0,887249,-37318,-3743,-58.56,53.19,5.77,9.93,75.94
0,895934,-34852,-3521,-40.13,53.19,5.77,9.87,79.37
