test_number,time,input_encoder,output_encoder,input_gyro,output_gyro,inout_acceleration,output_acceleration,velocity_in
0,9855,2155,119,78.81,-6.94,12.08,7.71,99.81
0,15692,4245,331,78.81,-6.94,10.10,7.71,99.51
0,21609,6407,539,78.81,-7.00,10.10,9.84,99.08
0,27308,8517,750,80.31,-7.00,5.44,11.11,98.53
0,34308,11020,975,80.31,-9.31,8.60,10.67,97.69
0,43841,14277,1321,99.69,-12.69,10.21,8.44,96.23
0,53529,17697,1670,120.31,-15.81,18.55,11.25,94.40
0,62554,21064,2026,140.19,-19.00,15.70,11.25,92.37
0,68471,23185,2229,159.25,-22.37,15.70,10.32,90.89
0,74175,25273,2441,159.25,-22.37,16.39,10.32,89.33
0,80219,27522,2659,177.75,-25.75,14.62,10.05,87.56
0,90010,30939,3002,195.56,-28.87,12.55,9.33,84.43
0,99701,34268,3339,213.19,-32.06,8.43,10.00,81.01
0,108737,37411,3625,230.75,-35.19,8.43,9.24,77.55
0,115527,39676,3843,248.56,-35.19,6.23,9.24,74.79
0,121241,41456,4006,248.56,-38.25,6.23,9.21,72.36
0,127153,43213,4183,266.81,-38.25,4.14,8.42,69.75
0,133911,45205,4386,266.81,-41.06,5.19,8.99,66.64
0,143637,48018,4649,285.62,-43.81,8.63,8.67,61.97
0,153637,50366,4917,305.25,-46.56,11.45,9.11,56.91
0,162942,52132,5099,325.56,-49.19,14.56,9.11,52.01
0,168844,53191,5198,346.50,-51.63,14.56,10.74,48.81
0,174545,54104,5293,346.50,-51.63,12.52,10.74,45.65
0,180503,55010,5396,367.62,-53.38,11.85,9.86,42.29
0,189447,56334,5529,386.50,-54.94,10.99,9.30,37.14
0,198470,57618,5649,403.25,-56.50,10.99,9.72,31.81
0,208199,58733,5759,418.06,-57.81,10.53,9.69,25.96
0,214970,59292,5814,432.12,-57.81,10.74,9.69,21.83
0,220855,59620,5847,432.12,-58.88,10.74,9.61,18.21
0,226759,59860,5872,444.69,-58.88,10.17,10.09,14.55
0,233557,60011,5888,444.69,-59.75,9.45,9.63,10.31
0,243246,60018,5897,453.87,-60.19,9.35,9.63,4.24
0,252605,59977,5915,459.25,-60.50,9.50,9.49,-1.64
0,261539,59921,5929,461.94,-60.56,9.37,9.41,-7.24
0,267489,59852,5943,462.19,-60.56,9.37,9.52,-10.97
0,273206,59742,5955,462.19,-60.75,9.27,9.52,-14.53
0,279152,59598,5956,461.81,-60.88,9.27,9.53,-18.21
0,287288,59375,5958,461.12,-61.13,9.15,9.79,-23.21
0,296233,58965,5923,459.62,-61.13,9.28,9.27,-28.64
0,305583,58309,5856,457.31,-61.19,9.24,10.14,-34.22
0,313702,57564,5785,457.31,-61.00,9.58,10.14,-38.96
0,319402,56933,5729,453.81,-60.50,9.58,9.42,-42.24
0,325220,56213,5665,453.81,-60.50,10.18,9.42,-45.52
0,331042,55405,5590,447.94,-59.75,10.56,9.59,-48.75
0,340310,54166,5476,439.62,-58.81,10.78,9.69,-53.75
0,349228,52927,5347,428.75,-57.75,10.41,9.50,-58.39
0,358791,51123,5184,415.69,-56.63,10.41,10.00,-63.16
0,365713,49496,5023,402.75,-56.63,12.28,10.00,-66.47
0,371429,48040,4879,402.75,-55.25,13.46,9.72,-69.11
0,377477,46389,4705,387.69,-55.25,13.46,10.05,-71.80
0,384794,44352,4509,387.69,-53.50,13.20,10.05,-74.93
0,393673,41897,4209,367.75,-51.19,10.99,8.68,-78.50
0,403344,38966,3887,346.44,-48.63,8.22,9.15,-82.12
0,412125,36089,3623,325.56,-45.69,7.52,10.45,-85.14
0,417835,34351,3473,305.31,-45.69,7.52,10.45,-86.97
0,423768,32517,3307,305.31,-42.56,4.84,8.38,-88.75
0,429475,30592,3146,285.69,-39.88,4.84,11.27,-90.34
0,437540,27629,2846,266.87,-39.88,5.80,7.75,-92.40
0,446927,24144,2484,248.50,-37.38,4.16,11.09,-94.49
0,456648,20589,2119,230.69,-34.63,12.74,8.98,-96.31
0,464518,17767,1868,230.69,-31.31,12.98,8.98,-97.53
0,470429,15634,1655,213.25,-27.87,12.98,10.16,-98.28
0,476139,13550,1464,195.75,-27.87,16.59,10.16,-98.88
0,482977,11076,1207,195.75,-24.87,16.28,9.69,-99.43
0,490875,8247,940,177.87,-21.69,15.52,9.29,-99.84
0,499851,5070,550,159.50,-18.50,15.78,8.25,-100.00
0,509529,1517,179,140.44,-15.25,15.78,6.93,-99.82
0,516536,-981,-14,120.44,-15.25,12.09,6.93,-99.46
0,522245,-3009,-227,120.44,-11.44,5.18,8.61,-99.02
0,528050,-5154,-397,99.50,-11.44,5.18,8.09,-98.45
0,535188,-7795,-677,99.50,-8.06,3.21,8.09,-97.57
0,544201,-11079,-999,77.69,-5.19,3.34,8.61,-96.17
0,553823,-14565,-1394,55.31,-2.12,7.01,9.04,-94.34
0,562883,-17744,-1670,32.56,1.25,10.81,7.92,-92.30
0,568802,-19882,-1876,10.00,1.25,10.81,7.92,-90.80
0,574690,-22083,-2072,10.00,4.62,13.54,10.36,-89.19
0,580658,-24214,-2293,-12.13,7.56,15.35,8.82,-87.43
0,589241,-27111,-2578,-33.38,10.69,15.35,9.69,-84.69
0,597730,-29709,-2884,-53.81,10.69,16.46,10.42,-81.73
0,607492,-32459,-3212,-73.44,13.88,14.39,7.61,-78.05
0,615354,-34584,-3435,-73.44,16.87,12.24,7.61,-74.86
0,621272,-36161,-3567,-92.37,20.25,12.24,12.90,-72.35
0,627187,-37656,-3685,-110.87,20.25,9.06,12.90,-69.73
0,633965,-39307,-3851,-110.87,22.87,7.62,10.84,-66.62
0,642938,-41364,-4024,-129.19,25.19,7.83,9.36,-62.31
0,650695,-43044,-4152,-147.31,27.25,6.44,9.96,-58.42
0,660261,-44936,-4370,-165.56,29.12,6.44,9.64,-53.44
0,667493,-46308,-4527,-184.12,29.12,7.58,9.64,-49.55
0,673216,-47325,-4612,-184.12,30.75,8.02,10.01,-46.40
0,679313,-48282,-4715,-202.44,30.75,8.02,11.42,-42.97
0,687457,-49376,-4837,-219.56,32.75,8.57,8.24,-38.29
0,697404,-50513,-4962,-235.87,34.44,10.17,9.71,-32.45
0,707523,-51470,-5055,-249.87,35.94,9.62,9.65,-26.37
0,715779,-52012,-5106,-249.87,37.13,9.80,9.65,-21.34
0,721490,-52269,-5129,-261.44,37.13,9.80,10.23,-17.82
0,727548,-52426,-5143,-271.37,38.13,10.68,10.23,-14.06
0,734302,-52471,-5147,-271.37,38.88,10.75,10.01,-9.85
0,742762,-52457,-5150,-278.94,39.25,10.67,9.96,-4.55
0,750738,-52431,-5152,-283.50,39.44,9.76,9.63,0.46
0,760218,-52381,-5154,-285.25,39.44,9.76,9.79,6.42
0,767792,-52289,-5157,-285.19,39.50,9.31,9.79,11.16
0,773496,-52147,-5159,-285.19,39.50,9.37,9.75,14.71
0,779716,-51933,-5191,-284.87,39.50,9.37,9.75,18.56
0,787845,-51689,-5179,-284.25,39.56,10.08,8.59,23.56
0,797564,-51233,-5140,-282.50,39.56,8.76,10.05,29.44
0,807523,-50551,-5075,-279.56,39.81,10.18,10.05,35.36
0,815760,-49785,-5003,-276.06,39.69,10.37,10.06,40.15
0,821550,-49144,-4941,-276.06,39.69,10.37,9.86,43.46
0,827649,-48401,-4874,-270.75,39.25,10.02,9.86,46.88
0,834398,-47503,-4786,-270.75,38.63,9.90,9.95,50.58
0,841926,-46329,-4681,-263.19,37.75,9.64,10.12,54.60
0,850024,-44786,-4541,-253.25,36.75,9.90,9.88,58.79
0,858834,-43010,-4362,-241.62,36.75,9.90,10.30,63.18
0,866709,-41336,-4180,-227.87,35.50,7.86,10.30,66.93
0,872413,-40032,-4049,-227.87,35.50,7.75,9.80,69.55
0,878125,-38597,-3902,-211.06,34.00,7.75,9.80,72.09
0,886149,-36375,-3696,-193.44,32.13,7.15,9.09,75.49
0,893959,-34229,-3502,-193.44,30.06,6.10,9.79,78.61
0,901685,-32201,-3308,-175.00,27.75,9.63,10.64,81.52
0,910227,-29890,-3081,-156.75,27.75,11.08,8.96,84.51
0,918191,-27470,-2845,-138.69,25.37,11.08,8.96,87.08
0,923901,-25571,-2663,-138.69,23.06,10.11,10.07,88.78
0,929945,-23599,-2450,-120.50,23.06,10.11,9.82,90.47
0,937769,-21082,-2158,-102.06,20.69,13.98,9.82,92.45
0,946482,-17922,-1827,-83.50,17.94,16.25,9.00,94.40
0,954844,-14840,-1521,-83.50,14.94,14.35,8.34,96.00
0,962458,-12068,-1255,-64.37,11.63,13.60,7.95,97.23
0,969408,-9690,-1045,-44.44,11.63,13.60,7.95,98.16
0,975126,-7569,-827,-44.44,8.00,13.58,10.31,98.78
0,981080,-5484,-622,-23.62,5.06,10.23,10.88,99.29
0,988964,-2616,-319,-2.06,5.06,10.23,7.79,99.76
0,998083,698,-21,-339.81,2.12,6.71,10.50,99.99
0,1007141,3998,307,-317.12,-1.00,2.39,10.50,99.90
0,1014766,6796,576,-317.12,-4.44,4.95,11.49,99.57
