test_number,time,input_encoder,output_encoder,input_gyro,output_gyro,inout_acceleration,output_acceleration,velocity_in
0,4875972,-2799,-211,1099.56,-10.38,8.52,11.54,-98.74
0,4885273,-6242,-513,1099.56,-6.81,3.79,11.54,-98.22
0,4891612,-8554,-762,1077.44,-4.00,3.88,8.17,-97.81
0,4899517,-11432,-1038,1054.88,-1.00,3.88,8.06,-97.24
0,4908278,-14625,-1394,1032.19,2.37,7.31,10.04,-96.54
0,4915070,-17097,-1624,1032.19,2.37,10.06,9.59,-95.94
0,4923116,-20039,-1904,1009.87,5.81,15.12,9.59,-95.17
0,4930672,-22840,-2164,988.25,9.00,14.59,11.57,-94.38
0,4938513,-25691,-2456,967.50,12.00,14.59,9.11,-93.51
0,4946309,-28439,-2732,947.62,12.00,17.41,9.11,-92.58
0,4952600,-30656,-3042,947.62,15.25,14.91,9.53,-91.79
0,4962221,-34060,-3399,928.56,18.44,14.91,9.22,-90.50
0,4969135,-36529,-3600,910.06,22.31,14.38,4.90,-89.52
0,4975901,-38921,-3823,892.00,22.31,12.90,10.41,-88.52
0,4985060,-42117,-4089,892.00,25.75,7.02,10.41,-87.09
0,4991513,-44367,-4312,874.25,28.56,3.47,8.15,-86.04
0,4999436,-47215,-4607,856.56,31.37,3.47,9.49,-84.70
0,5007550,-50174,-4929,838.69,31.37,2.47,9.70,-83.27
0,5014970,-52878,-5191,838.69,34.44,5.04,9.70,-81.90
0,5023093,-55712,-5467,820.44,37.81,11.10,10.27,-80.36
0,5030193,-58158,-5683,801.62,41.19,13.37,10.18,-78.96
0,5038428,-61079,-5985,782.00,41.19,13.37,9.35,-77.29
0,5046127,-63559,-6228,761.44,44.06,13.40,9.35,-75.68
0,5052281,-65298,-6421,761.44,47.00,15.70,9.05,-74.35
0,5062005,-67834,-6770,740.06,50.13,15.70,11.48,-72.20
0,5068859,-69586,-6939,1078.06,52.94,13.54,7.50,-70.64
0,5075627,-71333,-7111,1078.06,52.94,12.95,9.53,-69.06
0,5084794,-73606,-7280,1056.06,55.94,12.52,9.53,-66.88
