test_number,time,input_encoder,output_encoder,input_gyro,output_gyro,inout_acceleration,output_acceleration,velocity_in
0,4889536,-3145,-221,396.75,-8.31,7.15,8.87,-97.95
0,4897593,-6088,-476,375.12,-5.12,7.15,12.63,-97.39
0,4906693,-9414,-842,352.69,-2.19,4.77,9.19,-96.67
0,4913539,-11950,-1097,352.69,-2.19,6.20,10.69,-96.08
0,4921416,-14858,-1412,330.00,0.94,7.77,10.69,-95.34
0,4929129,-17677,-1655,307.31,4.25,7.77,9.07,-94.55
0,4937031,-20512,-1928,285.00,7.62,11.66,9.46,-93.68
0,4943972,-23037,-2157,285.00,7.62,13.48,11.70,-92.87
0,4950825,-25544,-2418,263.50,10.63,17.07,11.70,-92.02
0,4960661,-28813,-2749,242.87,13.81,17.07,8.77,-90.72
0,4968336,-31244,-3105,223.19,17.00,16.52,10.66,-89.64
0,4974493,-33093,-3274,223.19,17.00,16.03,6.48,-88.73
0,4983572,-35848,-3541,204.25,20.19,10.97,6.48,-87.33
0,4990640,-37981,-3707,185.81,23.75,10.96,10.53,-86.19
0,4998583,-40318,-3937,167.69,26.44,10.96,8.93,-84.85
0,5007599,-42878,-4126,149.69,28.75,8.19,9.46,-83.26
0,5014071,-44590,-4314,149.69,28.75,5.65,9.89,-82.07
0,5021925,-46595,-4536,131.75,31.19,6.00,9.89,-80.58
0,5029644,-48649,-4747,113.56,33.31,6.78,9.78,-79.07
0,5037644,-50702,-4965,95.00,35.88,6.78,11.14,-77.45
0,5045471,-52648,-5146,75.81,35.88,6.87,10.95,-75.82
0,5051558,-54390,-5310,75.81,38.31,9.16,10.95,-74.51
0,5061056,-57185,-5581,56.00,40.69,8.47,9.62,-72.41
0,5068544,-59556,-5795,35.63,42.88,8.47,8.70,-70.71
0,5074644,-61508,-6002,35.63,42.88,12.37,11.60,-69.29
0,5083799,-64075,-6255,14.63,45.38,15.31,11.60,-67.12
0,5090734,-65816,-6463,-7.12,48.13,14.10,9.75,-65.43
0,5098633,-67606,-6727,-29.25,50.88,14.10,10.39,-63.46
0,5107880,-69616,-6922,-51.25,53.44,12.94,7.41,-61.11
0,5114464,-71035,-7061,-51.25,53.44,11.89,9.90,-59.40
0,5122563,-72693,-7195,-72.75,56.06,11.25,9.90,-57.26
0,5130488,-74206,-7319,-93.69,57.94,10.05,7.97,-55.12
0,5138319,-75630,-7459,-113.81,59.69,10.05,10.76,-52.98
0,5147655,-77271,-7597,-132.62,61.06,9.44,9.38,-50.38
0,5156371,-78703,-7721,-149.69,62.69,8.71,10.13,-47.91
0,5163389,-79770,-7829,-149.69,62.69,8.83,10.13,-45.89
0,5171620,-80902,-7944,-165.31,64.00,8.42,9.90,-43.50
0,5179023,-81895,-8047,-180.00,65.37,8.42,9.35,-41.31
0,5187198,-82958,-8142,-193.44,66.75,9.05,10.57,-38.88
0,5194556,-83878,-8238,-193.44,66.75,8.50,10.57,-36.66
0,5201078,-84651,-8326,-205.31,67.94,8.99,10.00,-34.68
0,5210973,-85621,-8434,-216.44,69.06,8.99,9.05,-31.64
0,5217852,-86172,-8499,-227.19,70.19,9.13,10.25,-29.51
0,5224673,-86663,-8554,-227.19,70.19,9.89,10.13,-27.38
0,5233758,-87279,-8619,-237.37,71.25,9.84,10.13,-24.53
0,5240460,-87668,-8659,-246.00,72.00,9.35,9.91,-22.41
0,5248281,-88009,-8692,-252.81,72.69,9.35,9.70,-19.92
0,5257066,-88244,-8714,-258.87,73.31,10.33,10.13,-17.11
0,5265149,-88341,-8723,-258.87,73.31,10.09,10.01,-14.51
0,5274504,-88342,-8725,-262.62,73.69,10.27,10.11,-11.49
0,5285156,-88332,-8726,-267.00,73.87,9.65,10.11,-8.05
0,5291884,-88319,-8728,-267.00,73.94,9.47,9.83,-5.86
0,5299062,-88307,-8729,-266.94,73.94,9.47,9.77,-3.53
0,5308528,-88286,-8730,-266.81,73.94,9.59,9.89,-0.45
0,5315121,-88255,-8732,-266.81,73.94,9.52,9.71,1.70
0,5323125,-88195,-8733,-266.62,74.00,9.72,9.71,4.30
0,5330927,-88089,-8733,-266.44,74.06,9.49,9.91,6.83
0,5338692,-87902,-8734,-265.94,74.12,9.49,9.84,9.35
0,5346557,-87750,-8771,-265.00,74.12,10.03,9.76,11.90
0,5353306,-87642,-8768,-265.00,74.25,8.62,9.76,14.08
0,5362229,-87457,-8753,-263.06,74.25,9.95,8.78,16.94
0,5369778,-87277,-8736,-261.50,74.56,9.95,9.90,19.36
0,5375881,-87081,-8717,-259.87,74.56,9.58,10.06,21.30
0,5384875,-86689,-8679,-259.87,74.50,9.82,10.06,24.15
0,5390976,-86363,-8651,-257.94,74.31,9.84,9.89,26.08
0,5398660,-85861,-8604,-255.00,74.00,9.84,9.94,28.48
0,5407979,-85164,-8545,-250.94,73.62,9.89,9.90,31.37
0,5414747,-84631,-8491,-250.94,73.62,9.88,9.68,33.46
0,5422857,-83918,-8423,-245.56,73.06,9.49,9.68,35.93
0,5430800,-83117,-8364,-239.31,72.50,9.52,10.13,38.33
0,5438678,-82206,-8278,-232.37,71.75,9.52,9.51,40.69
0,5446490,-81266,-8179,-224.50,71.75,9.69,10.31,43.00
0,5453265,-80464,-8094,-224.50,71.06,8.96,10.31,44.98
0,5462635,-79302,-7951,-215.06,70.19,9.11,10.15,47.68
0,5470484,-78184,-7827,-205.12,69.06,9.11,10.42,49.91
0,5477096,-77116,-7717,-195.06,67.81,9.04,9.56,51.76
0,5486006,-75543,-7557,-183.69,67.81,8.59,9.77,54.22
0,5492907,-74260,-7435,-183.69,66.44,8.70,9.77,56.09
0,5499701,-72909,-7317,-170.12,64.87,8.97,10.04,57.91
0,5508769,-71077,-7154,-154.87,63.19,8.97,10.01,60.29
0,5515551,-69803,-7032,-154.87,63.19,8.91,9.89,62.03
0,5523432,-68301,-6903,-138.06,61.56,11.93,9.89,64.03
0,5531285,-66694,-6753,-120.19,59.94,10.18,9.07,65.97
0,5538790,-65023,-6589,-102.87,58.38,10.18,10.20,67.78
0,5546870,-62954,-6385,-84.44,58.38,10.99,10.17,69.69
0,5553655,-61057,-6200,-84.44,56.75,11.49,10.17,71.26
0,5563095,-58512,-5862,-64.00,54.81,13.27,11.08,73.38
0,5571167,-56159,-5616,-42.44,52.56,13.27,8.90,75.14
0,5577995,-54079,-5396,-20.56,49.81,14.30,8.47,76.59
0,5586837,-51249,-5140,-358.75,49.81,13.11,9.63,78.40
0,5593606,-49079,-4933,-358.75,47.00,11.83,9.63,79.75
0,5600384,-46968,-4736,-337.19,44.13,9.58,10.79,81.06
0,5609169,-43992,-4451,-316.25,41.50,9.58,8.46,82.70
0,5615971,-41661,-4206,-296.00,41.50,7.12,11.44,83.93
0,5623807,-38941,-3925,-296.00,38.88,3.41,11.44,85.29
0,5631547,-36109,-3666,-276.56,36.06,3.33,9.41,86.57
0,5638972,-33482,-3422,-257.94,32.88,3.33,10.57,87.76
0,5646982,-30793,-3162,-239.87,32.88,5.15,8.50,88.98
0,5653878,-28458,-2935,-239.87,29.62,11.09,8.50,89.98
0,5663137,-25145,-2615,-222.12,26.62,12.88,9.72,91.25
0,5670525,-22696,-2330,-204.31,23.62,12.88,9.66,92.21
0,5677579,-20273,-2057,-186.44,20.56,15.20,9.69,93.07
0,5686885,-16843,-1679,-168.31,20.56,17.25,8.73,94.14
0,5693737,-14354,-1464,-168.31,17.37,16.56,8.73,94.87
0,5700460,-11875,-1224,-149.69,14.00,14.10,7.38,95.54
0,5709286,-8754,-933,-130.50,10.38,14.10,9.95,96.35
0,5716090,-6315,-698,-110.44,10.38,13.70,10.18,96.91
