test_number,time,input_encoder,output_encoder,input_gyro,output_gyro,inout_acceleration,output_acceleration,velocity_in
0,4876904,-1827,-47,389.06,-6.31,12.01,9.90,-98.69
0,4885827,-5091,-350,367.62,-6.31,4.54,9.90,-98.18
0,4892110,-7418,-580,367.62,-3.12,2.79,11.66,-97.78
0,4899469,-10149,-862,345.37,-0.25,2.79,8.79,-97.25
0,4908715,-13523,-1224,322.75,2.87,3.07,10.07,-96.50
0,4915295,-15981,-1464,322.75,2.87,9.77,7.96,-95.92
0,4923397,-18822,-1722,300.00,6.25,12.07,7.96,-95.14
0,4931387,-21760,-1992,277.69,9.75,15.03,9.18,-94.31
0,4939018,-24552,-2274,256.00,12.69,15.03,10.36,-93.45
0,4947223,-27474,-2561,235.25,12.69,15.10,9.88,-92.47
0,4954403,-29985,-2851,235.25,15.88,17.79,9.60,-91.55
0,4963206,-33071,-3215,215.44,19.12,16.36,9.60,-90.36
0,4971183,-35878,-3510,196.37,22.31,16.36,9.80,-89.22
0,4978278,-38375,-3704,177.94,26.25,14.26,11.35,-88.16
0,4987150,-41445,-3990,159.94,26.25,8.49,10.00,-86.76
0,4994094,-43831,-4178,159.94,29.31,6.51,10.00,-85.61
0,5000790,-46143,-4450,142.19,32.19,4.75,9.80,-84.46
0,5010699,-49685,-4818,124.56,34.88,4.75,10.14,-82.69
0,5017084,-51976,-5053,106.75,34.88,5.01,8.03,-81.51
0,5024274,-54539,-5289,106.75,38.13,7.16,11.11,-80.13
0,5032890,-57483,-5571,88.50,41.50,10.84,11.11,-78.42
0,5039678,-59871,-5787,69.62,44.56,10.84,9.90,-77.03
0,5047702,-62669,-6087,49.94,44.56,13.02,9.78,-75.34
0,5055460,-64980,-6315,29.37,47.44,15.89,9.02,-73.66
0,5063696,-67200,-6625,29.37,50.50,16.14,9.02,-71.82
0,5071593,-69212,-6833,7.94,53.50,16.14,11.15,-70.01
0,5078646,-71015,-7010,-14.06,56.50,13.23,15.36,-68.35
0,5087352,-73171,-7193,-36.06,56.50,12.78,9.94,-66.25
0,5094292,-74797,-7335,-36.06,59.25,11.24,9.94,-64.55
0,5100880,-76313,-7480,-57.88,61.38,10.62,10.46,-62.89
0,5110684,-78496,-7662,-79.44,63.19,10.62,9.13,-60.38
0,5116875,-79820,-7792,-100.50,63.19,8.33,9.51,-58.76
0,5124402,-81333,-7947,-100.50,65.12,7.60,9.51,-56.76
0,5132733,-82988,-8107,-121.00,66.87,7.66,9.55,-54.51
0,5139620,-84347,-8250,-140.87,68.81,7.45,10.37,-52.62
0,5147804,-85876,-8418,-159.31,68.81,7.45,8.25,-50.34
0,5155945,-87238,-8572,-176.37,70.62,8.01,11.02,-48.03
0,5163833,-88510,-8700,-176.37,72.37,9.16,11.02,-45.76
0,5171626,-89617,-8804,-192.94,74.25,9.16,10.05,-43.49
0,5178625,-90489,-8888,-208.06,75.81,8.40,9.91,-41.43
0,5187347,-91404,-8977,-221.75,75.81,10.12,9.84,-38.83
0,5194442,-92031,-9041,-221.75,77.06,10.37,9.84,-36.70
0,5200890,-92551,-9095,-234.12,78.06,10.42,10.41,-34.74
0,5210611,-93327,-9172,-244.44,78.94,10.42,9.93,-31.75
0,5217380,-93834,-9216,-252.87,78.94,9.93,9.95,-29.66
0,5224939,-94339,-9261,-252.87,79.69,9.61,9.91,-27.30
0,5233842,-94907,-9310,-259.94,80.37,10.06,9.91,-24.50
0,5240679,-95272,-9343,-266.69,80.94,9.61,9.93,-22.34
0,5248549,-95630,-9377,-273.00,81.50,9.61,9.78,-19.83
0,5256552,-95951,-9411,-278.62,81.50,9.95,9.89,-17.27
0,5264383,-96180,-9433,-278.62,81.94,9.61,9.89,-14.76
0,5272146,-96319,-9447,-282.56,82.37,9.99,9.93,-12.26
0,5278967,-96340,-9450,-286.56,82.69,9.99,9.96,-10.05
0,5287564,-96334,-9451,-289.81,82.69,10.18,9.84,-7.26
0,5294754,-96326,-9451,-289.81,82.94,9.50,9.84,-4.93
0,5301097,-96316,-9452,-291.87,83.00,9.43,9.84,-2.87
0,5310133,-96302,-9453,-292.37,83.00,9.43,9.81,0.07
0,5316890,-96285,-9454,-292.25,83.00,9.48,9.84,2.27
0,5324720,-96252,-9455,-292.25,83.00,9.50,9.84,4.82
0,5332272,-96202,-9456,-292.19,83.06,9.48,9.76,7.27
0,5339649,-96135,-9456,-292.00,83.06,9.53,9.85,9.66
