test_number,time,input_encoder,output_encoder,input_gyro,output_gyro,inout_acceleration,output_acceleration,velocity_in
0,4208117,127659,12663,-1468.06,-111.06,9.39,9.69,42.93
0,4217447,129374,12832,-1448.75,-113.00,11.05,9.57,40.17
0,4228324,131237,13004,-1430.06,-114.87,11.15,9.83,36.90
0,4237645,132675,13144,-1412.69,-116.62,11.44,10.27,34.07
0,4247252,133875,13258,-1395.81,-118.19,11.44,9.99,31.11
0,4255304,134752,13329,-1380.75,-119.56,11.68,10.65,28.61
0,4262783,135488,13398,-1380.75,-120.75,10.93,9.60,26.27
0,4272429,136219,13466,-1367.69,-121.62,10.52,9.82,23.23
0,4282487,136703,13514,-1357.31,-121.62,10.33,10.17,20.03
0,4290563,137004,13543,-1348.31,-122.44,10.30,10.17,17.45
0,4299161,137168,13559,-1341.25,-123.00,9.68,10.05,14.69
0,4308049,137194,13563,-1336.69,-123.37,9.68,9.94,11.82
0,4316589,137192,13564,-1333.50,-123.69,9.91,9.68,9.06
0,4325510,137188,13565,-1331.94,-123.75,9.65,9.70,6.17
0,4333951,137180,13566,-1331.75,-123.75,9.42,9.54,3.42
0,4340867,137170,13567,-1331.75,-123.81,9.41,9.54,1.17
0,4348117,137157,13570,-1331.81,-123.81,9.41,9.66,-1.19
0,4356607,137131,13575,-1331.88,-123.87,9.48,9.59,-3.95
0,4363896,137094,13583,-1332.00,-123.87,9.32,9.67,-6.32
0,4372979,137001,13619,-1332.00,-123.94,9.40,9.44,-9.26
0,4382477,136851,13648,-1332.19,-123.94,9.45,9.18,-12.34
0,4389667,136748,13649,-1332.50,-124.06,9.79,9.18,-14.65
0,4398013,136679,13657,-1333.19,-124.37,9.79,10.55,-17.34
0,4405350,136646,13663,-1334.38,-124.62,9.56,9.56,-19.68
0,4412244,136618,13671,-1334.38,-124.62,9.28,9.59,-21.88
0,4421223,136527,13674,-1335.63,-124.69,9.43,9.61,-24.72
0,4431618,136057,13640,-1336.25,-124.75,10.07,9.61,-27.98
0,4438911,135514,13595,-1336.63,-124.81,10.28,9.47,-30.25
0,4447136,134748,13525,-1337.44,-124.81,10.28,9.47,-32.79
0,4453762,134031,13446,-1340.88,-124.50,10.28,10.15,-34.82
0,4462133,133027,13334,-1340.88,-124.50,10.55,10.23,-37.36
0,4472451,131712,13188,-1347.19,-123.81,10.92,9.38,-40.45
0,4483072,130155,13036,-1355.63,-122.87,10.28,9.59,-43.59
0,4490560,128986,12929,-1365.69,-121.69,11.34,9.59,-45.77
0,4499119,127654,12806,-1376.88,-120.50,11.34,9.99,-48.23
0,4508024,126266,12672,-1389.56,-119.19,10.32,9.53,-50.74
0,4516084,124918,12540,-1403.75,-117.87,10.01,9.88,-52.99
0,4526861,122689,12322,-1418.25,-116.56,9.41,9.22,-55.93
0,4536416,120417,12089,-1433.19,-115.12,11.81,9.60,-58.48
0,4545776,118099,11869,-1450.50,-113.56,9.34,10.46,-60.92
0,4553121,116341,11673,-1471.19,-113.56,7.65,8.54,-62.80
0,4561965,114313,11387,-1471.19,-111.50,7.05,10.27,-65.01
0,4572027,111999,11135,-1492.75,-109.25,6.73,10.38,-67.46
0,4582847,109415,10895,-1514.13,-107.00,7.01,9.99,-70.02
0,4590149,107593,10753,-1535.06,-104.75,7.71,9.99,-71.70
0,4598257,105405,10543,-1555.50,-102.75,7.71,8.27,-73.51
0,4605580,103325,10381,-1575.44,-100.87,8.40,11.15,-75.11
0,4612890,101194,10174,-1575.44,-100.87,10.12,7.95,-76.66
0,4622224,98272,9900,-1594.75,-98.75,11.24,10.58,-78.57
0,4632220,94912,9519,-1613.50,-96.37,13.74,10.58,-80.54
0,4639188,92493,9286,-1631.81,-93.69,16.30,10.35,-81.86
0,4647300,89723,9021,-1649.75,-90.44,16.30,8.15,-83.35
0,4653406,87628,8825,-1667.44,-90.44,16.57,9.38,-84.43
0,4660999,84811,8542,-1667.44,-87.44,12.78,9.38,-85.73
0,4669190,81796,8250,-1685.25,-84.44,13.94,9.07,-87.07
0,4678833,78358,7841,-1703.50,-81.19,7.69,9.31,-88.57
0,4686755,75496,7514,-1722.38,-77.81,7.69,9.05,-89.74
0,4695081,72464,7237,-1742.00,-77.81,5.91,8.21,-90.90
0,4700992,70357,7055,-1742.00,-73.87,3.18,8.21,-91.69
0,4708966,67425,6794,-1762.50,-70.37,3.18,7.91,-92.69
0,4715835,64901,6556,-1783.88,-67.62,7.03,11.19,-93.51
0,4725720,61227,6192,-1806.00,-64.75,8.77,11.54,-94.60
0,4734600,57988,5838,-1828.56,-64.75,12.11,9.96,-95.50
0,4741376,55538,5618,-1828.56,-61.56,15.53,9.96,-96.13
0,4748140,53122,5374,-1851.25,-58.13,15.53,7.46,-96.71
0,4754461,50753,5154,-1873.56,-58.13,17.60,10.76,-97.21
0,4762047,47945,4865,-1873.56,-54.94,17.70,10.35,-97.76
0,4771303,44603,4542,-1895.31,-51.81,16.06,8.65,-98.35
0,4781243,41031,4109,-1916.25,-48.50,14.70,8.65,-98.88
0,4788018,38535,3844,-1936.19,-45.19,8.42,9.99,-99.19
0,4795979,35674,3608,-1955.31,-45.19,8.42,9.88,-99.48
0,4801919,33546,3390,-1955.31,-41.31,1.97,9.88,-99.66
0,4809846,30641,3147,-1973.75,-37.75,1.97,7.73,-99.84
0,4816737,28101,2886,-1991.63,-34.94,4.65,10.30,-99.94
0,4826274,24635,2542,-2009.25,-32.00,5.11,7.69,-100.00
0,4835245,21338,2197,-2026.81,-32.00,9.63,9.36,-99.97
0,4842594,18678,1959,-2026.81,-28.69,12.72,9.36,-99.87
0,4849425,16141,1696,-2044.56,-25.31,12.72,8.50,-99.74
0,4856353,13562,1467,-2062.69,-22.12,16.24,12.28,-99.55
0,4863737,10874,1197,-2081.50,-22.12,14.89,10.49,-99.29
0,4873158,7498,853,-2101.06,-19.00,14.52,8.66,-98.88
0,4882398,4146,461,-2101.06,-15.81,11.65,8.66,-98.39
0,4888881,1780,212,-2121.50,-12.50,13.90,8.58,-97.99
0,4896949,-1138,-21,-2142.81,-8.69,13.90,9.06,-97.43
0,4902659,-3188,-238,-2142.81,-8.69,8.85,11.41,-97.00
0,4910763,-6177,-493,-2164.81,-5.19,3.87,11.41,-96.32
0,4918713,-9089,-808,-2187.44,-2.37,4.05,8.78,-95.60
0,4928614,-12716,-1170,-2210.13,0.62,7.17,10.09,-94.60
0,4936448,-15578,-1471,-2232.56,4.00,7.17,8.22,-93.75
0,4944286,-18421,-1727,-2254.38,4.00,10.35,8.22,-92.83
0,4950324,-20682,-1952,-2254.38,7.37,13.30,9.33,-92.08
0,4957219,-23209,-2186,-2275.31,10.56,13.30,10.71,-91.18
0,4964857,-25904,-2458,-2295.25,13.69,14.37,11.93,-90.13
0,4974819,-29254,-2822,-2314.38,16.87,15.86,9.90,-88.68
0,4984958,-32654,-3226,-2332.81,16.87,15.50,8.27,-87.11
0,4992528,-35177,-3494,-2332.81,19.94,14.26,8.27,-85.87
0,4999843,-37629,-3678,-2350.81,23.75,14.26,9.12,-84.63
0,5007426,-40121,-3927,-2368.69,26.87,12.88,10.40,-83.29
0,5014816,-42517,-4107,-2386.50,26.87,7.12,9.13,-81.93
0,5023960,-45503,-4431,-2404.44,29.56,3.83,9.59,-80.19
0,5032878,-48545,-4742,-2404.44,32.25,4.18,9.59,-78.42
0,5039183,-50681,-4975,-2422.69,34.88,5.17,9.24,-77.13
0,5047130,-53366,-5227,-2441.56,38.13,5.17,9.80,-75.46
0,5053062,-55291,-5410,-2441.56,38.13,9.06,10.45,-74.18
0,5061944,-58112,-5669,-2461.06,41.31,10.90,10.45,-72.21
0,5070213,-60851,-5950,-2481.50,44.13,12.66,8.92,-70.33
0,5079854,-63712,-6230,-2502.69,46.81,15.67,7.84,-68.06
0,5087710,-65710,-6463,-2524.50,49.75,14.54,10.79,-66.17
0,5096456,-67715,-6747,-2546.75,49.75,14.54,9.28,-64.01
0,5102448,-69047,-6876,-2546.75,52.44,12.70,9.28,-62.50
0,5110456,-70832,-7048,-2568.94,55.13,11.88,6.26,-60.44
0,5117328,-72299,-7174,-2590.56,57.56,11.88,9.71,-58.64
0,5126801,-74186,-7326,-2611.63,59.50,11.09,9.67,-56.12
0,5135546,-75869,-7487,-2632.13,59.50,10.42,10.06,-53.74
0,5142926,-77238,-7599,-2632.13,61.19,9.12,10.06,-51.70
0,5149406,-78364,-7695,-2651.38,62.69,9.12,10.14,-49.89
0,5156372,-79490,-7809,-2668.81,64.31,8.46,9.83,-47.91
0,5163443,-80542,-7916,-2685.25,64.31,8.51,9.77,-45.88
0,5172610,-81851,-8051,-2685.25,65.62,8.21,10.14,-43.21
0,5183351,-83340,-8190,-2713.81,67.12,8.95,10.14,-40.03
0,5190947,-84354,-8304,-2713.81,68.50,8.31,10.43,-37.75
0,5199172,-85318,-8412,-2725.94,69.69,8.31,8.47,-35.26
0,5205297,-85916,-8481,-2737.56,69.69,8.95,10.38,-33.39
0,5214395,-86703,-8569,-2748.81,70.94,9.74,10.45,-30.58
0,5224942,-87559,-8658,-2758.94,72.12,9.85,9.57,-27.30
0,5234668,-88183,-8719,-2767.00,73.12,9.24,9.57,-24.24
0,5241670,-88514,-8750,-2767.00,73.94,10.11,9.85,-22.02
0,5249833,-88759,-8772,-2774.19,74.62,10.11,10.02,-19.42
0,5257578,-88869,-8782,-2780.63,75.06,10.20,10.08,-16.95
0,5265720,-88868,-8784,-2785.56,75.37,10.38,10.08,-14.33
0,5276246,-88859,-8785,-2788.69,75.50,10.39,9.83,-10.93
0,5286636,-88847,-8786,-2789.94,75.50,9.46,9.83,-7.57
0,5294781,-88833,-8788,-2790.00,75.50,9.64,9.83,-4.92
0,5300481,-88821,-8789,-2790.00,75.50,9.44,9.78,-3.07
0,5306182,-88806,-8790,-2789.88,75.50,9.44,9.78,-1.21
0,5313757,-88779,-8791,-2789.75,75.56,9.54,9.78,1.25
0,5322144,-88735,-8793,-2789.75,75.62,9.56,9.78,3.98
0,5331379,-88640,-8797,-2789.63,75.69,9.53,9.71,6.98
0,5338140,-88504,-8802,-2789.38,75.75,9.70,9.93,9.17
0,5346089,-88293,-8841,-2789.00,75.75,9.70,9.93,11.75
0,5352025,-88222,-8830,-2789.00,75.81,10.39,9.60,13.66
0,5357733,-88109,-8823,-2788.31,75.87,10.39,10.01,15.50
0,5365854,-87868,-8802,-2786.75,75.87,8.56,10.24,18.11
0,5375227,-87519,-8771,-2784.81,76.19,10.09,10.12,21.10
0,5386532,-86990,-8720,-2783.25,76.12,9.75,9.99,24.68
0,5394339,-86548,-8678,-2780.69,75.87,9.82,9.99,27.13
0,5400047,-86170,-8646,-2780.69,75.56,9.68,9.86,28.91
0,5405936,-85718,-8604,-2777.31,75.56,9.68,9.88,30.74
0,5413829,-85048,-8545,-2773.19,75.19,9.84,9.88,33.18
0,5422412,-84273,-8468,-2773.19,74.69,9.58,9.94,35.80
0,5431949,-83299,-8385,-2768.19,74.00,9.42,10.08,38.68
0,5438642,-82493,-8313,-2761.81,73.31,9.49,9.77,40.68
0,5446966,-81435,-8204,-2754.69,73.31,9.49,10.05,43.14
0,5452961,-80691,-8127,-2754.69,72.44,8.78,10.05,44.89
0,5460940,-79697,-8014,-2746.69,71.62,8.83,9.56,47.19
0,5468119,-78693,-7894,-2737.31,70.50,9.06,10.16,49.24
0,5477802,-77106,-7723,-2726.88,69.31,8.02,9.87,51.96
0,5486703,-75490,-7562,-2716.50,69.31,8.02,9.88,54.41
0,5494512,-73985,-7416,-2702.94,67.87,8.33,9.88,56.52
0,5500220,-72817,-7318,-2702.94,66.25,8.33,9.68,58.05
0,5506178,-71605,-7215,-2687.63,66.25,8.67,9.67,59.61
0,5514015,-70116,-7077,-2672.06,64.56,10.27,9.67,61.64
0,5522743,-68464,-6925,-2672.06,62.81,11.00,9.96,63.85
0,5532177,-66511,-6742,-2654.81,61.19,10.98,8.68,66.18
0,5538776,-65029,-6597,-2637.88,59.63,10.31,10.37,67.78
0,5547000,-62903,-6388,-2619.69,59.63,10.31,10.37,69.72
0,5553582,-61054,-6209,-2599.56,58.00,11.78,10.20,71.24
0,5561616,-58906,-5924,-2599.56,56.13,12.68,11.05,73.05
0,5568822,-56849,-5702,-2578.13,53.88,13.94,9.85,74.63
0,5577584,-54103,-5408,-2556.25,51.25,13.99,8.53,76.50
0,5586276,-51254,-5148,-2534.31,51.25,13.99,9.76,78.29
0,5594117,-48716,-4907,-2512.44,48.31,12.90,9.76,79.85
0,5599826,-46948,-4743,-2512.44,45.38,12.90,10.54,80.96
0,5605985,-44877,-4551,-2491.06,45.38,10.39,8.68,82.12
0,5613832,-42142,-4269,-2470.38,42.63,7.48,8.68,83.55
0,5622690,-39045,-3944,-2470.38,40.00,5.63,11.55,85.10
0,5630816,-36082,-3672,-2450.50,37.25,2.71,9.42,86.46
0,5637636,-33681,-3453,-2431.50,37.25,4.78,10.47,87.55
0,5645886,-30920,-3184,-2413.13,34.00,4.78,10.47,88.81
0,5651594,-28954,-2989,-2413.13,30.75,13.17,8.67,89.65
0,5657928,-26609,-2759,-2395.25,30.75,13.17,9.37,90.55
0,5665738,-23858,-2478,-2377.44,27.75,12.27,10.72,91.60
0,5675544,-20481,-2084,-2359.75,24.75,14.24,9.97,92.83
0,5685193,-16935,-1696,-2341.94,21.56,15.82,9.97,93.95
0,5691968,-14472,-1477,-2341.94,18.31,16.17,8.56,94.68
0,5698858,-11924,-1235,-2323.69,18.31,16.17,7.16,95.38
0,5704569,-9953,-1071,-2304.94,14.88,16.92,7.16,95.92
0,5712310,-7128,-785,-2304.94,11.25,13.33,9.44,96.60
0,5718927,-4673,-531,-2285.44,8.31,7.79,10.01,97.14
0,5727644,-1469,-201,-2264.94,5.31,7.72,8.78,97.77
0,5736371,1694,82,-2243.56,5.31,7.72,8.78,98.33
0,5744226,4540,349,-2221.38,1.94,2.53,8.66,98.76
0,5749935,6638,562,-2221.38,-1.44,7.81,10.92,99.04
0,5755928,8813,778,-2198.75,-1.44,7.81,10.92,99.29
0,5764110,11770,1040,-2176.13,-4.75,11.42,8.54,99.57
0,5772557,14818,1383,-2176.13,-8.13,11.26,9.20,99.79
0,5779916,17547,1661,-2153.75,-11.25,18.06,10.14,99.91
0,5787667,20417,1970,-2132.13,-11.25,16.12,8.14,99.99
0,5796028,23455,2270,-2111.25,-14.75,16.12,8.14,99.99
0,5801743,25509,2458,-2111.25,-18.25,17.05,9.88,99.96
0,5807665,27643,2689,-2091.25,-18.25,17.05,10.64,99.88
0,5815736,30589,2980,-2072.19,-21.25,17.82,11.72,99.72
0,5824654,33852,3309,-2053.75,-24.50,12.72,11.72,99.46
0,5833405,37042,3588,-2035.81,-27.69,8.05,10.49,99.12
0,5839673,39292,3800,-2035.81,-31.06,5.02,9.89,98.83
0,5847375,42130,4079,-2018.25,-31.06,5.02,9.89,98.42
0,5853081,44252,4291,-2018.25,-34.00,3.86,8.64,98.07
0,5859975,46793,4537,-2000.75,-37.19,6.96,9.24,97.61
0,5867124,49344,4802,-1983.00,-37.19,8.10,8.51,97.08
0,5876058,52615,5147,-1964.94,-40.63,8.10,9.92,96.34
0,5885229,56041,5508,-1946.19,-44.06,13.81,9.92,95.49
0,5892005,58528,5733,-1946.19,-47.56,16.00,8.30,94.82
0,5898913,61027,5979,-1926.56,-47.56,16.00,8.30,94.08
0,5904799,63167,6200,-1906.06,-51.06,17.13,9.63,93.41
0,5911861,65780,6481,-1906.06,-54.13,17.86,9.77,92.57
0,5918199,68121,6712,-1884.63,-57.31,15.85,8.40,91.77
0,5926988,71343,7027,-1862.56,-57.31,12.97,8.57,90.59
0,5936204,74736,7326,-1840.00,-60.69,12.97,8.57,89.28
0,5944020,77591,7594,-1817.31,-63.94,8.39,9.40,88.11
0,5949732,79690,7807,-1817.31,-63.94,8.39,9.32,87.21
0,5955682,81907,8029,-1794.88,-66.87,4.58,9.32,86.25
0,5963409,84751,8302,-1794.88,-70.00,4.64,8.19,84.95
0,5970355,87280,8596,-1773.06,-73.37,5.88,10.35,83.74
0,5978147,90150,8880,-1752.13,-77.00,9.22,7.55,82.32
0,5987326,93539,9238,-1732.06,-77.00,9.22,8.89,80.59
0,5995690,96604,9529,-1712.81,-80.56,13.45,8.89,78.95
0,6001404,98642,9720,-1712.81,-84.12,15.67,10.27,77.80
0,6007352,100721,9925,-1694.38,-84.12,15.67,10.56,76.57
0,6016109,103621,10256,-1676.44,-87.19,17.36,10.56,74.70
0,6025899,106734,10569,-1658.81,-90.12,15.57,8.17,72.55
0,6035895,109889,10853,-1641.00,-93.31,13.98,11.91,70.27
0,6043956,112246,11075,-1623.00,-96.19,11.00,9.92,68.38
0,6050091,113918,11226,-1623.00,-96.19,11.00,11.27,66.91
0,6056246,115600,11385,-1604.63,-98.75,5.26,11.27,65.41
0,6064179,117794,11604,-1585.69,-101.12,5.93,9.61,63.43
0,6071897,119953,11807,-1585.69,-103.37,6.99,8.89,61.47
0,6079242,121848,12016,-1566.06,-105.87,5.48,8.70,59.57
0,6087870,123935,12265,-1545.69,-105.87,5.48,8.99,57.29
0,6096146,125912,12466,-1524.75,-108.37,8.09,8.99,55.06
0,6101855,127213,12614,-1524.75,-108.37,9.03,10.26,53.50
0,6109623,128965,12791,-1503.50,-111.12,9.82,9.95,51.35
0,6118515,130988,12976,-1482.06,-113.50,9.93,9.96,48.85
0,6129045,133236,13195,-1460.56,-117.75,10.76,9.64,45.83
0,6139316,135171,13366,-1799.19,-117.75,12.88,10.71,42.83
0,6148944,136811,13523,-1778.63,-119.62,12.88,10.71,39.98
0,6156025,137840,13631,-1760.44,-121.19,12.59,10.10,37.86
0,6164874,138905,13743,-1744.25,-122.62,11.30,10.28,35.18
0,6173956,139778,13842,-1730.94,-123.94,10.71,10.03,32.40
0,6182509,140500,13922,-1730.94,-125.06,10.41,9.80,29.75
0,6191974,141114,13988,-1720.50,-126.00,9.55,9.59,26.80
0,6200532,141491,14028,-1712.25,-126.00,9.34,9.59,24.10
0,6207712,141661,14045,-1705.50,-126.81,9.34,10.07,21.83
0,6216809,141683,14050,-1700.63,-127.37,8.95,10.02,18.93
0,6227577,141681,14051,-1697.94,-127.69,9.33,9.73,15.48
0,6238639,141675,14053,-1697.44,-127.81,9.26,9.52,11.92
0,6247894,141666,14056,-1697.44,-127.81,9.26,9.52,8.92
0,6253602,141656,14059,-1697.44,-127.87,9.48,9.77,7.07
0,6260112,141639,14067,-1697.56,-127.87,9.27,9.58,4.95
0,6268015,141621,14075,-1697.63,-127.94,9.46,9.78,2.38
0,6277790,141594,14086,-1697.81,-128.00,9.27,9.62,-0.80
0,6288940,141543,14105,-1698.00,-128.12,9.21,9.62,-4.42
0,6298149,141484,14109,-1698.19,-128.25,9.21,9.76,-7.41
0,6305143,141422,14110,-1698.50,-128.37,9.27,10.01,-9.68
0,6312094,141328,14111,-1698.50,-128.50,9.20,9.61,-11.93
0,6320024,141204,14112,-1697.44,-128.50,9.35,9.64,-14.49
0,6329631,141133,14115,-1696.63,-128.56,9.53,9.70,-17.57
0,6339594,141110,14116,-1697.81,-128.56,9.58,9.66,-20.76
0,6348364,141086,14120,-1698.81,-128.56,9.58,9.66,-23.54
0,6354877,141070,14124,-1699.06,-128.62,9.25,9.64,-25.59
0,6361312,141057,14126,-1699.06,-128.62,9.32,9.69,-27.61
0,6369359,141045,14128,-1699.31,-128.62,9.38,9.70,-30.12
0,6379096,141010,14125,-1699.50,-128.69,9.35,9.65,-33.12
0,6389080,140416,14079,-1699.69,-128.75,8.77,9.65,-36.17
0,6397483,139604,14016,-1699.88,-128.81,8.77,10.13,-38.71
0,6403484,138929,13950,-1699.88,-128.56,9.21,10.28,-40.50
0,6409606,138158,13872,-1702.94,-128.56,9.63,9.90,-42.31
0,6417555,137121,13761,-1710.50,-128.00,9.63,9.90,-44.64
0,6428894,135388,13590,-1720.25,-127.06,10.67,9.97,-47.91
0,6440088,133287,13367,-1731.56,-125.94,11.32,10.78,-51.08
