test_number,time,input_encoder,output_encoder,input_gyro,output_gyro,inout_acceleration,output_acceleration,velocity_in
0,33,-65536,131071,354.25,0.00,12.04,9.55,100.00
0,9244,441,-13,354.25,0.00,12.04,9.53,95.51
0,16915,996,-33,354.25,0.00,12.04,10.04,85.23
0,23656,1206,-50,354.25,0.06,12.46,10.04,71.80
0,30414,1340,-36,355.69,0.19,11.89,9.05,54.89
0,40002,1451,-24,362.25,0.50,10.86,8.63,26.57
0,49053,1450,-19,366.06,0.31,10.86,10.49,-2.56
0,58770,1378,-4,367.75,0.25,10.99,8.79,-33.52
0,65539,1246,13,367.75,0.25,12.09,8.79,-53.30
0,71492,997,21,368.37,0.13,12.09,9.59,-68.59
0,77556,638,32,368.00,0.13,11.76,9.93,-81.53
0,84482,282,36,368.00,-0.06,11.06,9.60,-92.41
0,93263,39,13,366.50,-0.25,13.18,9.60,-99.43
0,102414,-99,2,362.25,-0.31,12.71,10.14,-98.17
0,112044,-204,-8,357.12,-0.13,12.71,9.83,-87.53
0,117946,-231,-10,354.50,-0.13,12.49,9.71,-76.69
0,123653,-229,-12,354.50,0.00,12.29,9.71,-63.52
0,129577,-226,-13,353.06,0.06,12.29,9.76,-47.54
0,138428,-218,-14,352.19,0.13,12.47,9.68,-20.59
0,148286,-198,-19,352.06,0.13,11.98,9.72,11.32
0,158156,-108,-26,352.12,0.13,12.10,9.88,42.10
0,165432,67,-29,352.12,0.13,12.18,9.88,62.21
0,171407,313,-32,352.31,0.19,12.18,10.07,76.16
0,177112,647,-36,352.75,0.19,12.69,10.03,86.82
0,183870,896,-66,352.75,0.25,13.22,10.03,95.55
0,192775,1140,-54,354.62,0.31,11.71,10.01,100.00
0,201936,1440,-27,358.87,0.56,11.56,9.60,95.87
0,211817,1730,5,363.00,0.56,11.56,10.18,81.96
0,217784,1864,18,365.75,0.56,12.58,9.48,69.36
0,223740,2002,31,365.75,0.25,11.77,9.48,54.19
0,229651,2120,44,368.94,-0.06,11.77,9.83,37.12
0,238062,2197,55,371.56,-0.25,12.11,9.75,10.63
0,247000,2160,67,373.81,-0.25,11.62,9.88,-18.33
0,256416,2033,77,375.37,-0.44,11.67,8.95,-47.13
0,264365,1806,81,375.37,-0.50,11.58,8.95,-68.12
0,270125,1513,90,375.44,-0.50,11.58,10.62,-80.57
0,275892,1124,104,374.37,-0.69,11.53,10.62,-90.21
0,282209,812,82,374.37,-0.75,10.82,9.41,-97.12
0,290735,496,55,371.75,-0.88,12.70,9.65,-99.93
0,299785,157,25,366.37,-0.75,12.57,9.65,-94.56
0,309513,-103,1,361.44,-0.44,12.57,9.98,-79.73
0,316424,-147,-3,357.94,-0.44,11.30,9.98,-64.26
0,322132,-139,-5,357.94,-0.13,11.30,9.89,-49.01
0,328139,-131,-7,354.50,-0.13,13.03,9.85,-31.14
0,334894,-118,-9,354.50,0.00,12.15,9.79,-9.67
0,344429,-83,-16,353.00,0.06,12.00,9.79,21.18
0,354460,68,-19,353.00,0.06,12.10,10.01,51.40
0,363778,394,-24,353.12,0.13,12.78,9.75,74.67
0,369682,707,-27,353.50,0.13,12.78,9.79,86.00
0,375383,920,-46,353.50,0.19,13.05,9.79,93.94
0,381446,1097,-59,354.87,0.19,11.78,9.74,98.84
0,389716,1360,-35,358.31,0.37,11.78,8.89,99.32
0,398358,1655,-3,362.69,0.37,11.56,9.69,92.20
0,407697,1894,21,365.69,0.50,12.57,9.79,76.38
0,415560,2128,42,365.69,0.25,11.28,9.79,57.56
0,421516,2276,58,368.94,-0.06,11.28,9.79,40.73
0,427220,2349,71,371.75,-0.06,12.22,9.79,23.17
0,433818,2351,76,371.75,-0.31,11.41,9.58,1.91
0,442326,2294,90,374.50,-0.50,11.43,9.80,-25.49
0,450920,2133,92,376.75,-0.62,11.82,9.36,-51.20
0,460335,1764,101,377.12,-0.81,11.82,9.64,-74.72
0,467305,1362,113,376.31,-0.81,11.14,9.64,-87.75
0,473015,1084,109,376.31,-0.88,11.54,9.71,-95.10
0,478829,820,85,373.94,-0.88,11.54,10.16,-99.22
0,486600,511,57,369.44,-1.00,12.01,9.57,-99.18
0,495314,183,28,369.44,-1.00,12.49,9.57,-91.66
0,504927,-74,4,364.37,-0.62,11.79,9.83,-74.90
0,513830,-104,-1,360.25,-0.37,12.81,9.77,-52.85
0,519732,-94,-3,356.56,-0.37,12.81,9.89,-35.67
0,525590,-82,-5,356.56,-0.13,13.16,9.89,-17.32
0,531507,-65,-9,353.81,0.00,11.99,9.76,1.85
0,540780,4,-13,353.31,0.00,12.02,9.71,31.48
0,550473,209,-15,353.44,0.06,12.39,9.76,59.37
0,559108,565,-22,353.81,0.06,12.39,10.03,79.36
0,567183,915,-38,354.81,0.13,12.84,10.03,92.44
0,572895,1076,-58,354.81,0.13,11.58,9.83,97.90
0,578939,1260,-42,357.50,0.13,11.58,11.30,100.00
0,586705,1536,-17,361.87,0.19,12.36,11.30,97.04
0,595435,1781,10,361.87,0.50,12.54,8.72,86.37
0,605009,2061,36,365.00,0.31,11.26,9.44,66.77
0,613984,2321,62,368.19,0.00,12.20,9.99,42.50
0,620098,2419,77,371.19,0.00,12.20,9.90,23.77
0,626008,2428,83,371.19,-0.25,12.08,9.90,4.77
0,631946,2395,89,374.00,-0.50,11.29,9.67,-14.50
0,640750,2283,98,376.75,-0.69,11.92,8.76,-41.87
0,649606,1997,102,377.87,-0.69,11.92,11.34,-65.96
0,658720,1508,117,377.37,-0.81,11.82,9.35,-85.05
0,666620,1148,115,377.37,-0.94,11.53,9.35,-95.63
0,672427,885,90,375.69,-0.94,11.53,9.30,-99.42
0,678502,628,68,371.69,-1.00,12.97,9.30,-99.60
0,685924,358,43,371.69,-1.12,11.14,10.08,-94.56
0,694447,49,15,366.62,-0.88,12.42,9.98,-82.04
0,702187,-67,4,362.37,-0.56,12.34,9.83,-65.19
0,711307,-63,2,358.50,-0.25,12.34,9.87,-40.17
0,718750,-47,-1,355.12,-0.25,13.44,9.87,-17.03
0,724460,-28,-5,355.12,-0.06,12.34,9.87,1.47
0,730409,12,-10,353.69,-0.06,12.34,9.90,20.68
0,738480,145,-11,353.75,-0.06,12.02,9.61,45.37
0,748404,461,-17,354.00,0.00,12.45,9.70,71.31
0,758082,893,-27,354.87,0.06,12.62,9.70,89.52
0,766571,1125,-54,354.87,0.06,11.33,9.81,98.28
0,772537,1305,-38,357.12,0.06,11.33,10.36,100.00
0,778810,1529,-17,361.06,0.13,12.61,10.36,97.75
0,786280,1745,6,361.06,0.37,11.73,8.94,89.79
0,793323,1937,24,364.37,0.37,12.48,10.06,77.44
0,801327,2189,48,367.37,0.06,12.24,9.81,58.54
0,810382,2402,74,370.56,0.06,12.24,9.79,32.47
0,818673,2455,84,373.25,-0.19,11.94,9.79,6.08
0,824378,2425,87,373.25,-0.19,11.55,9.79,-12.45
0,830534,2358,100,376.19,-0.44,11.55,9.79,-31.95
0,838397,2165,101,378.00,-0.69,11.82,9.79,-54.89
0,847153,1774,112,377.94,-0.75,11.67,10.99,-76.17
0,855620,1323,124,377.94,-0.94,11.01,9.67,-90.93
