test_number,time,input_encoder,output_encoder,input_gyro,output_gyro,inout_acceleration,output_acceleration,velocity_in
0,10144,507,-14,-6.50,-0.06,12.04,9.51,94.60
0,16471,978,-29,-6.50,-0.06,12.05,9.95,85.97
0,24016,1208,-51,-6.50,0.00,14.50,9.95,70.98
0,31214,1348,-35,-5.56,0.13,10.08,9.20,52.69
0,40629,1450,-25,0.62,0.50,10.95,8.56,24.60
0,50186,1443,-19,4.94,0.31,11.14,10.46,-6.24
0,60254,1358,-3,6.81,0.25,11.14,8.92,-38.03
0,66209,1229,13,7.62,0.25,12.21,8.92,-55.13
0,72001,967,22,7.62,0.13,11.93,9.13,-69.78
0,78053,595,31,7.31,-0.06,11.93,10.15,-82.45
0,85936,224,29,6.06,-0.25,10.87,9.89,-94.11
0,94981,3,9,2.19,-0.25,12.95,9.44,-99.87
0,103924,-118,-1,2.19,-0.31,13.00,9.92,-97.12
0,112584,-206,-8,-3.19,-0.13,12.60,9.92,-86.67
0,118463,-230,-11,-6.06,-0.06,12.60,9.77,-75.60
0,124170,-227,-12,-6.06,-0.06,12.20,9.77,-62.21
0,130085,-224,-13,-7.50,0.06,12.52,9.81,-46.08
0,139914,-215,-15,-8.50,0.06,12.05,9.80,-15.84
0,149314,-190,-21,-8.69,0.13,12.21,9.78,14.63
0,158253,-102,-26,-8.63,0.13,12.21,9.97,42.39
0,165035,66,-30,-8.50,0.13,11.95,9.97,61.19
0,170739,298,-32,-8.50,0.19,11.95,9.83,74.74
0,176635,637,-35,-8.06,0.19,12.63,10.20,86.04
0,183784,900,-67,-8.06,0.25,13.19,9.85,95.47
0,192588,1137,-55,-6.37,0.25,11.21,9.85,99.99
0,201536,1427,-28,-2.44,0.50,11.55,10.02,96.23
0,210736,1710,3,1.94,0.50,11.55,10.22,83.92
0,216787,1845,16,4.62,0.50,12.56,10.22,71.66
0,222674,1980,29,4.62,0.25,11.71,9.41,57.07
0,228563,2103,42,7.81,-0.06,11.71,9.86,40.38
0,236386,2195,56,10.56,-0.06,12.15,9.85,16.04
0,244204,2182,61,10.56,-0.31,11.67,9.92,-9.32
0,252940,2094,78,12.75,-0.44,11.71,9.92,-36.87
0,262615,1858,81,14.50,-0.56,11.55,8.87,-63.85
0,268503,1614,88,14.75,-0.56,11.55,10.95,-77.34
0,274417,1223,99,14.75,-0.75,11.72,10.95,-88.03
0,280436,894,89,13.81,-0.81,11.02,9.46,-95.58
0,289137,546,59,11.44,-0.94,13.15,10.05,-99.99
0,298541,199,28,6.50,-0.81,12.66,9.16,-95.80
0,308324,-92,2,1.25,-0.50,12.66,10.08,-82.01
0,315342,-153,-4,1.25,-0.50,11.42,10.08,-66.92
0,321046,-146,-6,-2.37,-0.19,11.42,9.94,-52.06
0,327049,-138,-7,-6.00,-0.19,13.06,9.83,-34.49
0,333974,-126,-9,-6.00,-0.06,12.26,9.83,-12.65
0,343247,-97,-16,-7.75,0.00,12.03,9.73,17.41
0,353003,30,-20,-7.87,0.06,12.04,9.97,47.28
0,361763,308,-24,-7.69,0.13,12.70,9.73,70.15
0,367468,591,-27,-7.44,0.13,12.70,9.73,82.10
0,373399,870,-40,-7.44,0.13,13.00,9.66,91.53
0,379122,1031,-63,-6.19,0.19,13.00,9.87,97.40
0,387107,1272,-42,-3.06,0.19,12.44,8.96,99.95
0,396425,1600,-10,1.50,0.31,11.64,9.63,94.45
0,406096,1854,17,4.50,0.50,12.48,9.98,79.64
0,414108,2090,39,4.50,0.25,11.49,9.98,61.35
0,420049,2250,55,7.75,0.25,11.49,9.89,45.04
0,425759,2343,69,10.69,-0.06,12.17,9.89,27.77
0,431978,2364,75,10.69,-0.31,11.42,9.65,7.89
0,440117,2322,86,13.38,-0.56,11.53,9.77,-18.48
0,449371,2188,92,15.81,-0.69,11.77,9.67,-46.80
0,459110,1839,99,16.44,-0.81,11.77,9.91,-72.01
0,466127,1449,110,15.88,-0.81,11.57,9.91,-85.85
0,471833,1144,113,15.88,-0.94,11.22,9.70,-93.84
