test_number,time,input_encoder,output_encoder,input_gyro,output_gyro,inout_acceleration,output_acceleration,velocity_in
0,870,3,-1,360.00,0.00,11.77,9.48,100.00
0,11079,2360,191,360.00,0.00,11.77,9.48,99.98
0,19451,5422,492,360.00,0.00,18.87,8.25,99.95
0,29617,9058,848,366.50,-0.75,24.12,6.29,99.88
0,39670,12721,1269,385.62,-3.81,1.60,10.13,99.78
0,49938,16404,1662,405.50,-7.06,1.34,10.60,99.65
0,60499,20281,2029,425.81,-10.81,5.65,7.81,99.48
0,66859,22557,2224,425.81,-14.25,10.71,9.87,99.37
0,73475,25009,2463,446.37,-14.25,13.72,9.87,99.23
0,81336,27853,2767,467.00,-17.37,15.05,11.46,99.06
0,91728,31570,3162,487.62,-20.37,15.72,10.62,98.81
0,102247,35330,3498,508.06,-23.50,16.02,8.84,98.52
0,112621,39049,3850,528.37,-26.94,16.02,8.84,98.20
0,119213,41495,4098,548.44,-30.06,12.55,9.25,97.99
0,125587,43871,4334,548.44,-30.06,12.25,10.24,97.77
0,132108,46164,4585,568.25,-33.00,11.84,10.01,97.53
0,142437,49924,5006,587.75,-36.19,4.10,7.86,97.13
0,152572,53634,5397,606.94,-39.44,5.46,8.61,96.71
0,162961,57319,5752,625.81,-43.19,5.46,8.61,96.25
0,169554,59743,5960,644.62,-46.81,8.16,12.40,95.94
0,175912,62069,6194,644.62,-46.81,7.45,11.34,95.64
0,182363,64414,6433,663.56,-50.00,12.29,10.51,95.31
0,192561,67940,6794,682.62,-53.06,16.20,11.13,94.78
0,202804,71469,7122,701.87,-56.19,15.40,9.57,94.21
0,212965,74967,7458,721.44,-59.44,15.40,9.57,93.62
0,219513,77221,7685,741.31,-62.44,15.12,9.92,93.23
0,225903,79498,7913,741.31,-62.44,15.29,9.33,92.84
0,232494,81895,8154,761.37,-65.25,13.50,9.66,92.42
0,242738,85447,8594,781.69,-68.25,7.15,10.95,91.74
0,252765,89067,8988,802.19,-71.44,5.14,10.34,91.06
0,262987,92786,9335,822.94,-74.94,5.14,10.34,90.33
0,269554,95107,9527,843.69,-78.44,4.11,10.54,89.85
0,276059,97390,9760,843.69,-78.44,5.70,8.09,89.37
0,282574,99664,9990,864.31,-81.81,9.34,9.83,88.87
0,292730,103142,10336,884.69,-85.00,12.24,10.84,88.07
0,302813,106549,10658,904.81,-88.00,12.51,10.45,87.25
0,313053,109965,10971,924.62,-91.12,12.51,10.45,86.39
0,319683,112055,11175,944.19,-94.12,14.65,9.45,85.83
0,326261,114169,11393,944.19,-94.12,14.78,10.20,85.25
0,332878,116428,11627,963.50,-96.87,13.56,9.31,84.66
0,342928,119971,12022,982.62,-99.56,13.82,9.74,83.75
0,352961,123277,12369,1001.62,-102.44,9.12,11.45,82.81
0,363196,126802,12754,1020.69,-105.56,9.12,11.45,81.83
0,369817,129211,12978,1039.63,-109.12,8.56,11.60,81.19
0,376352,131493,13195,1039.63,-109.12,4.20,11.60,80.54
0,383175,133754,13420,1058.88,-112.31,3.78,11.59,79.85
0,393123,136893,13749,1078.31,-115.44,6.66,9.97,78.83
0,403163,139875,14045,1098.13,-118.44,9.39,8.82,77.78
0,413386,142843,14323,1118.19,-121.44,9.39,8.82,76.69
0,420023,144809,14491,1138.44,-124.31,11.02,10.38,75.96
0,428033,147122,14707,1158.75,-124.31,11.16,9.59,75.08
0,435899,149331,14922,1158.75,-126.94,12.61,10.27,74.19
0,447279,152630,15269,1199.81,-131.62,12.96,10.06,72.89
0,457553,155712,15622,1220.25,-134.00,13.64,9.43,71.70
0,465327,157925,15867,1220.25,-134.00,14.13,9.43,70.78
0,472033,159804,16045,1240.56,-136.69,14.13,9.60,69.98
0,478417,161631,16248,1260.75,-136.69,11.93,10.53,69.20
0,487370,164249,16501,1280.69,-142.44,10.75,10.74,68.11
0,497519,167117,16781,1300.31,-145.06,9.09,9.99,66.84
0,506302,169489,17003,1300.31,-145.06,6.30,7.88,65.73
0,515337,171794,17273,1319.75,-147.69,6.56,7.88,64.58
0,521986,173418,17437,1338.94,-149.94,6.56,11.62,63.72
0,528425,174928,17589,1358.06,-149.94,6.86,9.01,62.88
