test_number,time,input_encoder,output_encoder,input_gyro,output_gyro,inout_acceleration,output_acceleration,velocity_in
0,32,1703936,-65536,207.62,334.44,10.82,6.62,100.00
0,9593,2212,162,207.37,334.44,10.82,5.69,99.32
0,15476,4262,362,207.00,334.44,12.18,2.79,98.24
0,21170,6372,572,207.00,334.31,4.30,2.79,96.72
0,27052,8547,793,211.69,331.94,4.30,13.22,94.66
0,35838,11732,1079,232.31,328.56,7.45,8.71,90.70
0,45478,14886,1433,254.44,325.37,12.28,10.09,85.16
0,54487,17737,1726,276.06,325.37,17.61,11.12,78.94
0,62324,20271,1986,276.06,322.19,14.25,11.12,72.76
0,68026,22126,2164,296.94,319.19,14.25,10.09,67.84
0,73903,23920,2345,317.06,319.19,15.03,10.09,62.43
0,80416,25669,2522,317.06,316.25,13.71,9.09,56.07
0,89527,27753,2734,336.44,313.50,9.43,9.94,46.60
0,99147,29310,2874,355.19,311.12,8.65,8.10,35.98
0,109122,30336,2979,373.69,309.25,8.65,9.94,24.45
0,115128,30689,3018,391.31,309.25,5.77,9.47,17.33
0,121066,30835,3033,391.31,308.06,7.40,9.47,10.20
0,126951,30829,3041,403.62,307.25,7.40,9.50,3.08
0,135144,30752,3089,410.94,307.00,7.22,9.57,-6.86
0,144181,30597,3100,413.69,307.00,8.16,9.07,-17.73
0,153465,30256,3120,413.37,306.62,8.66,9.87,-28.68
0,161778,29953,3110,413.37,306.37,8.19,9.87,-38.18
0,167557,29572,3074,412.19,306.37,8.19,9.46,-44.56
0,173262,29017,3020,409.62,306.25,10.02,9.46,-50.64
0,179656,28156,2935,409.62,306.31,7.74,9.74,-57.17
0,188915,26414,2764,406.31,307.00,6.71,9.53,-66.01
0,198252,24069,2519,399.81,308.25,6.73,9.47,-74.08
0,207110,21553,2250,388.50,310.06,6.73,8.49,-80.85
0,213873,19441,2061,371.87,310.06,8.44,8.49,-85.40
0,219594,17598,1892,371.87,312.56,8.44,10.81,-88.80
