test_number,time,input_encoder,output_encoder,input_gyro,output_gyro,inout_acceleration,output_acceleration,velocity_in
0,9634,2571,148,205.25,334.81,10.59,6.11,99.32
0,15525,4684,349,205.31,334.81,7.75,8.96,98.23
0,21221,6749,556,205.31,334.75,3.63,8.96,96.70
0,27097,8946,783,206.81,332.44,3.63,15.17,94.65
0,35822,12064,1056,226.81,329.06,9.30,10.32,90.71
0,45228,15082,1395,248.94,325.94,11.13,9.69,85.32
0,54092,17847,1677,270.69,325.94,18.16,10.88,79.23
0,61930,20363,1943,270.69,322.75,13.98,10.88,73.08
0,67687,22226,2120,291.62,319.81,13.98,10.33,68.14
0,73387,23925,2293,291.62,319.81,14.96,10.33,62.92
0,79646,25556,2457,311.81,316.81,13.65,9.21,56.84
0,89166,27643,2669,331.25,314.19,9.14,9.69,46.99
0,98931,29164,2813,350.06,311.87,7.95,8.56,36.22
0,108544,30070,2898,368.69,310.06,7.95,10.29,25.13
0,115265,30409,2934,385.81,310.06,6.38,10.29,17.17
0,121203,30469,2942,385.81,308.87,7.70,9.25,10.03
0,127095,30414,2968,397.25,308.25,7.70,9.82,2.90
0,135242,30322,3008,403.69,308.00,6.74,9.80,-6.98
0,144328,30170,3008,405.50,308.00,8.79,9.17,-17.91
0,153358,29863,3038,405.50,307.50,8.49,9.63,-28.56
0,161882,29590,3022,404.69,307.44,8.20,9.63,-38.29
0,167717,29198,2986,403.56,307.44,8.20,9.36,-44.73
0,173416,28593,2925,401.00,307.25,10.27,9.36,-50.80
0,179685,27680,2835,401.00,307.31,6.25,9.58,-57.20
0,188986,25766,2656,398.12,308.00,6.43,9.52,-66.07
0,197736,23510,2402,391.37,309.37,7.40,9.76,-73.65
0,207210,20764,2126,379.06,311.31,7.40,8.56,-80.92
0,213996,18613,1933,361.50,311.31,10.45,8.56,-85.48
0,219705,16769,1749,361.50,313.87,10.45,9.77,-88.87
0,225660,14702,1560,342.81,313.87,14.36,10.34,-91.94
0,232560,12159,1302,342.81,316.37,14.94,9.59,-94.91
0,241975,8847,984,323.75,319.19,17.69,9.59,-97.88
